[ 2570.871885] google_charger: usbchg=USB typec=C usbv=4871 usbc=488 usbMv=5000 usbMc=500
[ 2580.213616] before: swapin tgid 25409 pid 25427 name "Binder:25409_2" vma 727a4000
[ 2580.213630] before: swapin tgid 25409 pid 25427 name "Binder:25409_2" vma 727a5000
[ 2580.213640] before: swapin tgid 25409 pid 25427 name "Binder:25409_2" vma 727ca000
[ 2580.213652] before: swapin tgid 25409 pid 25427 name "Binder:25409_2" vma 727a6000
[ 2580.213666] before: swapin tgid 25409 pid 25427 name "Binder:25409_2" vma 727a7000
[ 2580.213686] before: swapin tgid 25409 pid 25427 name "Binder:25409_2" vma 727a8000
[ 2580.213704] before: swapin tgid 25409 pid 25427 name "Binder:25409_2" vma 727a9000
[ 2580.213718] before: swapin tgid 25409 pid 25427 name "Binder:25409_2" vma 727aa000
[ 2580.213734] before: swapin tgid 25409 pid 25427 name "Binder:25409_2" vma 727ab000
[ 2580.213748] before: swapin tgid 25409 pid 25427 name "Binder:25409_2" vma 727ac000
[ 2580.213762] before: swapin tgid 25409 pid 25427 name "Binder:25409_2" vma 727ad000
[ 2580.213776] before: swapin tgid 25409 pid 25427 name "Binder:25409_2" vma 727ae000
[ 2580.213790] before: swapin tgid 25409 pid 25427 name "Binder:25409_2" vma 727af000
[ 2580.213803] before: swapin tgid 25409 pid 25427 name "Binder:25409_2" vma 727b0000
[ 2580.213831] before: swapin tgid 25409 pid 25427 name "Binder:25409_2" vma 727b1000
[ 2580.213845] before: swapin tgid 25409 pid 25427 name "Binder:25409_2" vma 727b2000
[ 2580.213860] before: swapin tgid 25409 pid 25427 name "Binder:25409_2" vma 727b3000
[ 2580.213876] before: swapin tgid 25409 pid 25427 name "Binder:25409_2" vma 727b4000
[ 2580.213890] before: swapin tgid 25409 pid 25427 name "Binder:25409_2" vma 727b5000
[ 2580.213904] before: swapin tgid 25409 pid 25427 name "Binder:25409_2" vma 727b6000
[ 2580.213920] before: swapin tgid 25409 pid 25427 name "Binder:25409_2" vma 727b7000
[ 2580.213934] before: swapin tgid 25409 pid 25427 name "Binder:25409_2" vma 727b8000
[ 2580.213951] before: swapin tgid 25409 pid 25427 name "Binder:25409_2" vma 727b9000
[ 2580.213965] before: swapin tgid 25409 pid 25427 name "Binder:25409_2" vma 727ba000
[ 2580.213980] before: swapin tgid 25409 pid 25427 name "Binder:25409_2" vma 727bb000
[ 2580.213994] before: swapin tgid 25409 pid 25427 name "Binder:25409_2" vma 727bc000
[ 2580.214008] before: swapin tgid 25409 pid 25427 name "Binder:25409_2" vma 727bd000
[ 2580.214021] before: swapin tgid 25409 pid 25427 name "Binder:25409_2" vma 727be000
[ 2580.214035] before: swapin tgid 25409 pid 25427 name "Binder:25409_2" vma 727bf000
[ 2580.214050] before: swapin tgid 25409 pid 25427 name "Binder:25409_2" vma 727c0000
[ 2580.214063] before: swapin tgid 25409 pid 25427 name "Binder:25409_2" vma 727c1000
[ 2580.214077] before: swapin tgid 25409 pid 25427 name "Binder:25409_2" vma 727c2000
[ 2580.214092] before: swapin tgid 25409 pid 25427 name "Binder:25409_2" vma 727c3000
[ 2580.214106] before: swapin tgid 25409 pid 25427 name "Binder:25409_2" vma 727c4000
[ 2580.214119] before: swapin tgid 25409 pid 25427 name "Binder:25409_2" vma 727c7000
[ 2580.214231] before: swapin tgid 25409 pid 25427 name "Binder:25409_2" vma 71262000
[ 2580.214286] before: swapin tgid 25409 pid 25427 name "Binder:25409_2" vma 71263000
[ 2580.214577] before: swapin tgid 25409 pid 25427 name "Binder:25409_2" vma 71269000
[ 2580.214657] before: swapin tgid 25409 pid 25427 name "Binder:25409_2" vma 70a36000
[ 2580.214694] before: swapin tgid 25409 pid 25427 name "Binder:25409_2" vma 70a1e000
[ 2580.214714] before: swapin tgid 25409 pid 25427 name "Binder:25409_2" vma 709e8000
[ 2580.214907] before: swapin tgid 25409 pid 25427 name "Binder:25409_2" vma 71261000
[ 2580.214955] before: swapin tgid 25409 pid 25427 name "Binder:25409_2" vma 70a07000
[ 2580.215630] before: swapin tgid 25409 pid 25409 name "re-initialized>" vma 709e9000
[ 2580.215635] before: swapin tgid 25409 pid 25409 name "re-initialized>" vma 724a3000
[ 2580.215647] before: swapin tgid 25409 pid 25409 name "re-initialized>" vma 726c9000
[ 2580.215665] before: swapin tgid 25409 pid 25409 name "re-initialized>" vma 7fbc85c000
[ 2580.215715] before: swapin tgid 25409 pid 25409 name "re-initialized>" vma 70a03000
[ 2580.215748] before: swapin tgid 25409 pid 25409 name "re-initialized>" vma 70a09000
[ 2580.215811] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobile" vma 7126f000
[ 2580.215848] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobile" vma 7fbd2bc000
[ 2580.215858] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobile" vma 7fbe231000
[ 2580.215880] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobile" vma 7f2897e000
[ 2580.215883] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobile" vma 7f289f5000
[ 2580.217322] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobile" vma 71275000
[ 2580.217336] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobile" vma 7127f000
[ 2580.217364] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobile" vma 7127e000
[ 2580.218894] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobile" vma 726e5000
[ 2580.218942] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobile" vma 7fbd67a000
[ 2580.218953] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobile" vma 7f28a18000
[ 2580.218957] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobile" vma 7fbe187000
[ 2580.218959] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobile" vma 7fbe188000
[ 2580.218982] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobile" vma 7f289b2000
[ 2580.219002] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobile" vma 7f289dc000
[ 2580.221103] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobile" vma 7f28abc000
[ 2580.221248] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobile" vma 7f28a5b000
[ 2580.221411] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobile" vma 71267000
[ 2580.221567] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobile" vma 7fba5a1000
[ 2580.221575] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobile" vma 726db000
[ 2580.221588] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobile" vma 7125c000
[ 2580.221733] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobile" vma 7062e000
[ 2580.221794] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobile" vma 70ad1000
[ 2580.237680] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobile" vma 7fbe488000
[ 2580.237689] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobile" vma 7fbdf14000
[ 2580.237749] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobile" vma 7fbf5e2000
[ 2580.237768] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobile" vma 7fbe48d000
[ 2580.239081] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobile" vma 7f39edf000
[ 2580.249037] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobile" vma 7f289ed000
[ 2580.249049] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobile" vma 7f289ee000
[ 2580.249180] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobile" vma 7fbd46c000
[ 2580.250572] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobile" vma 7fffff8000
[ 2580.250785] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobile" vma 7f312b7000
[ 2580.250798] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobile" vma 7fbe48a000
[ 2580.250803] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobile" vma 7fbe49a000
[ 2580.250823] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobile" vma 7fbd3db000
[ 2580.250908] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobile" vma 7f31834000
[ 2580.258450] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobile" vma 70a7d000
[ 2580.272809] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobile" vma 7f39edc000
[ 2580.272999] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobile" vma 7f28989000
[ 2580.283715] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobile" vma 7fbe22c000
[ 2580.295869] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobile" vma 709eb000
[ 2580.295891] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobile" vma 70a01000
[ 2580.295912] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobile" vma 70a1d000
[ 2580.295983] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobile" vma 70a14000
[ 2580.296056] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobile" vma 70a0f000
[ 2580.309229] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobile" vma 70951000
[ 2580.309296] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobile" vma 7f28a03000
[ 2580.309302] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobile" vma 7f28a04000
[ 2580.309308] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobile" vma 7f289f6000
[ 2580.309313] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobile" vma 7f289f7000
[ 2580.309353] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobile" vma 7fbe1cb000
[ 2580.311475] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobile" vma 7f28afb000
[ 2580.311586] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobile" vma 7f28b44000
