UID            PID  PPID C STIME TTY          TIME CMD
root           288     2 0 13:27:49 ?     00:00:00 [qcrypto_seq_res]
root           289     2 0 13:27:49 ?     00:00:00 [irq/421-arm-smm]
root           310     2 0 13:27:49 ?     00:00:00 [scsi_eh_0]
root           311     2 0 13:27:49 ?     00:00:00 [scsi_tmf_0]
root           312     2 0 13:27:49 ?     00:00:00 [ufs_pm_qos_0]
root           313     2 0 13:27:49 ?     00:00:00 [ufs_clk_gating_]
root           314     2 0 13:27:49 ?     00:00:00 [ufs_mgc_hibern8]
root           315     2 0 13:27:49 ?     00:00:00 [ice-set-key]
root           316     2 0 13:27:49 ?     00:00:00 [irq/422-arm-smm]
root           317     2 0 13:27:49 ?     00:00:00 [spi1]
root           318     2 0 13:27:49 ?     00:00:00 [spi2]
root           319     2 0 13:27:49 ?     00:00:00 [spi3]
root           320     2 0 13:27:49 ?     00:00:00 [spi4]
root           321     2 0 13:27:49 ?     00:00:00 [spi5]
root           322     2 0 13:27:49 ?     00:00:00 [irq/297-iaxxx-e]
root           323     2 0 13:27:49 ?     00:00:00 [iaxxx-core]
root           324     2 0 13:27:49 ?     00:00:00 [iaxxx-evnt-wq]
root           325     2 0 13:27:49 ?     00:00:00 [bond0]
root           326     2 0 13:27:49 ?     00:00:00 [kgsl-events]
root           333     2 0 13:27:49 ?     00:00:00 [kgsl_devfreq_wq]
root           334     2 0 13:27:49 ?     00:00:00 [k_ipa_usb]
root           337     2 0 13:27:49 ?     00:00:00 [kdbgd]
root           338     2 0 13:27:49 ?     00:00:00 [rot_commitq_0_0]
root           339     2 0 13:27:49 ?     00:00:00 [rot_commitq_0_1]
root           340     2 0 13:27:49 ?     00:00:00 [rot_doneq_0_0]
root           341     2 0 13:27:49 ?     00:00:00 [rot_doneq_0_1]
root           342     2 0 13:27:49 ?     00:00:00 [rot_fenceq_0_0]
root           343     2 0 13:27:49 ?     00:00:00 [rot_fenceq_0_1]
root           344     2 0 13:27:49 ?     00:00:00 [rot_fenceq_0_2]
root           345     2 0 13:27:49 ?     00:00:00 [rot_fenceq_0_3]
root           346     2 0 13:27:49 ?     00:00:00 [rot_fenceq_0_4]
root           347     2 0 13:27:49 ?     00:00:00 [rot_fenceq_0_5]
root           348     2 0 13:27:49 ?     00:00:00 [rot_fenceq_0_6]
root           349     2 0 13:27:49 ?     00:00:00 [rot_fenceq_0_7]
root           350     2 0 13:27:49 ?     00:00:00 [rot_fenceq_0_8]
root           351     2 0 13:27:49 ?     00:00:00 [rot_fenceq_0_9]
root           352     2 0 13:27:49 ?     00:00:00 [rot_fenceq_0_10]
root           353     2 0 13:27:49 ?     00:00:00 [rot_fenceq_0_11]
root           354     2 0 13:27:49 ?     00:00:00 [rot_fenceq_0_12]
root           355     2 0 13:27:49 ?     00:00:00 [rot_fenceq_0_13]
root           356     2 0 13:27:49 ?     00:00:00 [rot_fenceq_0_14]
root           357     2 0 13:27:49 ?     00:00:00 [rot_fenceq_0_15]
root           358     2 0 13:27:49 ?     00:00:00 [irq/423-arm-smm]
root           359     2 0 13:27:49 ?     00:00:00 [npu_wq]
root           360     2 0 13:27:49 ?     00:00:00 [msm_vidc_worker]
root           361     2 0 13:27:49 ?     00:00:00 [pm_workerq_venu]
root           362     2 0 13:27:49 ?     00:00:00 [irq/424-arm-smm]
root           363     2 0 13:27:49 ?     00:00:00 [irq/425-arm-smm]
root           364     2 0 13:27:49 ?     00:00:00 [irq/426-arm-smm]
root           365     2 0 13:27:49 ?     00:00:00 [irq/427-arm-smm]
root           366     2 0 13:27:49 ?     00:00:00 [cam-cpas]
root           367     2 0 13:27:49 ?     00:00:00 [st_pstate_work]
root           368     2 0 13:27:49 ?     00:00:00 [qcom,cam_virtua]
root           369     2 0 13:27:49 ?     00:00:00 [irq/428-arm-smm]
root           370     2 0 13:27:49 ?     00:00:00 [qcom,cam170-cpa]
root           371     2 0 13:27:49 ?     00:00:00 [irq/429-arm-smm]
root           372     2 0 13:27:49 ?     00:00:00 [cam_cci_wq]
root           373     2 0 13:27:49 ?     00:00:00 [cam_cci_wq]
root           374     2 0 13:27:49 ?     00:00:00 [cam_cci_wq]
root           375     2 0 13:27:49 ?     00:00:00 [cam_cci_wq]
root           376     2 0 13:27:49 ?     00:00:00 [cam_vsync_clien]
root           377     2 0 13:27:49 ?     00:00:00 [irq/430-arm-smm]
root           378     2 0 13:27:49 ?     00:00:00 [irq/303-cs40l25]
root           379     2 0 13:27:49 ?     00:00:00 [irq/431-arm-smm]
root           380     2 0 13:27:49 ?     00:00:00 [irq/432-arm-smm]
root           381     2 0 13:27:49 ?     00:00:00 [irq/433-arm-smm]
root           382     2 0 13:27:49 ?     00:00:00 [kworker/0:2]
root           383     2 0 13:27:49 ?     00:00:00 [irq/49-max1720x]
root           384     2 0 13:27:49 ?     00:00:00 [irq/545-chgr-er]
root           385     2 0 13:27:49 ?     00:00:00 [irq/546-chg-sta]
root           386     2 0 13:27:49 ?     00:00:00 [irq/547-bat-tem]
root           387     2 0 13:27:49 ?     00:00:00 [irq/548-bat-ov]
root           388     2 0 13:27:49 ?     00:00:00 [irq/549-bat-low]
root           389     2 0 13:27:49 ?     00:00:00 [irq/550-bat-the]
root           390     2 0 13:27:49 ?     00:00:00 [irq/551-bat-ter]
root           391     2 0 13:27:49 ?     00:00:00 [irq/46-p9221-ir]
root           392     2 0 13:27:49 ?     00:00:00 [irq/319-p9221-i]
root           393     2 0 13:27:49 ?     00:00:00 [kworker/5:2]
root           394     2 0 13:27:49 ?     00:00:00 [irq/520-limits_]
root           395     2 0 13:27:49 ?     00:00:00 [kworker/0:1H]
root           396     2 0 13:27:49 ?     00:00:00 [irq/521-limits_]
root           397     2 0 13:27:49 ?     00:00:00 [kworker/4:1H]
root           398     2 0 13:27:49 ?     00:00:00 [dm_bufio_cache]
root           399     2 0 13:27:49 ?     00:00:00 [irq/106-KRYO L3]
root           400     2 0 13:27:49 ?     00:00:00 [kworker/3:2]
root           401     2 0 13:27:49 ?     00:00:00 [kworker/u16:10]
root           402     2 0 13:27:49 ?     00:00:00 [kworker/u16:11]
root           403     2 1 13:27:49 ?     00:00:00 [kworker/u16:12]
root           404     2 0 13:27:49 ?     00:00:00 [kworker/u16:13]
root           405     2 0 13:27:49 ?     00:00:00 [irq/211-s2mpg01]
root           406     2 0 13:27:49 ?     00:00:00 [irq/85-s2mpg01-]
root           407     2 0 13:27:49 ?     00:00:00 [irq/434-arm-smm]
root           408     2 0 13:27:49 ?     00:00:00 [uaudio_svc]
root           409     2 0 13:27:49 ?     00:00:00 [ipv6_addrconf]
root           410     2 0 13:27:49 ?     00:00:00 [kworker/7:2]
root           411     2 0 13:27:49 ?     00:00:00 [ab-sm]
root           421     2 0 13:27:49 ?     00:00:00 [flood_workq]
root           422     2 0 13:27:49 ?     00:00:00 [dot_workq]
root           423     2 0 13:27:49 ?     00:00:00 [c440000.qcom,sp]
root           424     2 0 13:27:49 ?     00:00:00 [irq/553-otg-fai]
root           425     2 0 13:27:49 ?     00:00:00 [irq/556-high-du]
root           426     2 0 13:27:49 ?     00:00:00 [kworker/7:3]
root           427     2 0 13:27:49 ?     00:00:00 [irq/557-input-c]
root           428     2 0 13:27:49 ?     00:00:00 [irq/559-switche]
root           429     2 0 13:27:49 ?     00:00:00 [irq/560-usbin-c]
root           430     2 0 13:27:49 ?     00:00:00 [irq/561-usbin-v]
root           431     2 0 13:27:49 ?     00:00:00 [irq/562-usbin-u]
root           432     2 0 13:27:49 ?     00:00:00 [irq/563-usbin-o]
root           433     2 0 13:27:49 ?     00:00:00 [irq/564-usbin-p]
root           434     2 0 13:27:49 ?     00:00:00 [irq/566-usbin-s]
root           435     2 0 13:27:49 ?     00:00:00 [irq/567-usbin-i]
root           436     2 0 13:27:49 ?     00:00:00 [irq/569-dcin-uv]
root           437     2 0 13:27:49 ?     00:00:00 [irq/570-dcin-ov]
root           438     2 0 13:27:49 ?     00:00:00 [irq/571-dcin-pl]
root           439     2 0 13:27:49 ?     00:00:00 [irq/573-dcin-po]
root           440     2 0 13:27:49 ?     00:00:00 [irq/574-dcin-en]
root           441     2 0 13:27:49 ?     00:00:00 [irq/575-typec-o]
root           442     2 0 13:27:49 ?     00:00:00 [irq/577-typec-c]
root           443     2 0 13:27:49 ?     00:00:00 [irq/578-typec-v]
root           444     2 0 13:27:49 ?     00:00:00 [irq/580-typec-a]
root           445     2 0 13:27:49 ?     00:00:00 [irq/581-typec-l]
