[ 6366.743947] google_charger: usbchg=USB typec=C usbv=4923 usbc=431 usbMv=5000 usbMc=500
[ 6376.675049] before: swapin tgid 9563 pid 10169 name "pool-12-thread-" vma 7e881f2000
[ 6376.675069] before: swapin tgid 9563 pid 9617 name "GLThread 426" vma 7f289ca000
[ 6376.675080] before: swapin tgid 9563 pid 9617 name "GLThread 426" vma 7ec053f000
[ 6376.675109] before: swapin tgid 9563 pid 9617 name "GLThread 426" vma 7ea6a24000
[ 6376.675120] before: swapin tgid 9563 pid 9617 name "GLThread 426" vma 7fba5fb000
[ 6376.675159] before: swapin tgid 9563 pid 9617 name "GLThread 426" vma 7fbe1c3000
[ 6376.675169] before: swapin tgid 9563 pid 9617 name "GLThread 426" vma 7fbc9f8000
[ 6376.675171] before: swapin tgid 9563 pid 9617 name "GLThread 426" vma 7fbc9f9000
[ 6376.675178] before: swapin tgid 9563 pid 9617 name "GLThread 426" vma 7ec0577000
[ 6376.675227] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 7f20d92000
[ 6376.675252] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 7f20d8b000
[ 6376.675363] before: swapin tgid 9563 pid 9617 name "GLThread 426" vma 7fba79d000
[ 6376.675370] before: swapin tgid 9563 pid 9617 name "GLThread 426" vma 7ec0348000
[ 6376.675556] before: swapin tgid 9563 pid 10169 name "pool-12-thread-" vma 715b9000
[ 6376.675619] before: swapin tgid 9563 pid 10169 name "pool-12-thread-" vma 70dd1000
[ 6376.675824] before: swapin tgid 9563 pid 10169 name "pool-12-thread-" vma 70db8000
[ 6376.675845] before: swapin tgid 9563 pid 10169 name "pool-12-thread-" vma 70d94000
[ 6376.675861] before: swapin tgid 9563 pid 10169 name "pool-12-thread-" vma 72df0000
[ 6376.675869] before: swapin tgid 9563 pid 10169 name "pool-12-thread-" vma 72dd6000
[ 6376.675894] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 7f20d94000
[ 6376.675902] before: swapin tgid 9563 pid 9617 name "GLThread 426" vma 7fb9ebc000
[ 6376.675905] before: swapin tgid 9563 pid 10169 name "pool-12-thread-" vma 7fbbdfb000
[ 6376.675911] before: swapin tgid 9563 pid 9617 name "GLThread 426" vma 7e9db2d000
[ 6376.675925] before: swapin tgid 9563 pid 9617 name "GLThread 426" vma 7ed28a8000
[ 6376.675938] before: swapin tgid 9563 pid 10169 name "pool-12-thread-" vma 7fbbdf5000
[ 6376.675939] before: swapin tgid 9563 pid 9617 name "GLThread 426" vma 7ea73a8000
[ 6376.675955] before: swapin tgid 9563 pid 9617 name "GLThread 426" vma 7fbe2fd000
[ 6376.675964] before: swapin tgid 9563 pid 9617 name "GLThread 426" vma 7ed1725000
[ 6376.675967] before: swapin tgid 9563 pid 10169 name "pool-12-thread-" vma 7f234e3000
[ 6376.675970] before: swapin tgid 9563 pid 9617 name "GLThread 426" vma 7eb2e2e000
[ 6376.675977] before: swapin tgid 9563 pid 9617 name "GLThread 426" vma 7eb2e2f000
[ 6376.675990] before: swapin tgid 9563 pid 9617 name "GLThread 426" vma 7f39883000
[ 6376.675999] before: swapin tgid 9563 pid 9617 name "GLThread 426" vma 7f398a9000
[ 6376.676006] before: swapin tgid 9563 pid 9617 name "GLThread 426" vma 7f398ad000
[ 6376.676012] before: swapin tgid 9563 pid 10169 name "pool-12-thread-" vma 70c34000
[ 6376.676034] before: swapin tgid 9563 pid 7054 name "GLThread 426" vma 7f398c2000
[ 6376.676047] before: swapin tgid 9563 pid 7054 name "GLThread 426" vma 7ec029c000
[ 6376.676052] before: swapin tgid 9563 pid 7054 name "GLThread 426" vma 7ec029d000
[ 6376.676160] before: swapin tgid 9563 pid 9609 name "pool-6-thread-1" vma 7ec772e000
[ 6376.676163] before: swapin tgid 9563 pid 7054 name "AudioTrack" vma 7f2d61e000
[ 6376.676176] before: swapin tgid 9563 pid 7054 name "AudioTrack" vma 7f2d620000
[ 6376.676177] before: swapin tgid 9563 pid 9609 name "pool-6-thread-1" vma 7ec772b000
[ 6376.676202] before: swapin tgid 9563 pid 10169 name "pool-12-thread-" vma 70d9d000
[ 6376.676203] before: swapin tgid 9563 pid 9609 name "pool-6-thread-1" vma 71574000
[ 6376.676206] before: swapin tgid 9563 pid 7054 name "AudioTrack" vma 7e8820b000
[ 6376.676221] before: swapin tgid 9563 pid 9609 name "pool-6-thread-1" vma 70ef8000
[ 6376.676222] before: swapin tgid 9563 pid 7054 name "AudioTrack" vma 7e8820d000
[ 6376.676228] before: swapin tgid 9563 pid 7054 name "AudioTrack" vma 7e8820c000
[ 6376.676232] before: swapin tgid 9563 pid 10169 name "pool-12-thread-" vma 7f2d5c2000
[ 6376.676242] before: swapin tgid 9563 pid 9609 name "pool-6-thread-1" vma 7ed2850000
[ 6376.676273] before: swapin tgid 9563 pid 10169 name "pool-12-thread-" vma 7f2e20b000
[ 6376.676319] before: swapin tgid 9563 pid 9673 name "queued-work-loo" vma 7eaa814000
[ 6376.676330] before: swapin tgid 9563 pid 9673 name "queued-work-loo" vma 7f2d4b3000
[ 6376.676345] before: swapin tgid 9563 pid 9609 name "pool-6-thread-1" vma 7ed2851000
[ 6376.676352] before: swapin tgid 9563 pid 7054 name "AudioTrack" vma 7fbe26c000
[ 6376.676375] before: swapin tgid 9563 pid 7054 name "AudioTrack" vma 7fbe267000
[ 6376.676450] before: swapin tgid 9563 pid 7054 name "AudioTrack" vma 70d11000
[ 6376.676461] before: swapin tgid 9563 pid 9609 name "pool-6-thread-1" vma 70f48000
[ 6376.676559] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 7f20d93000
[ 6376.678158] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 7ea74d7000
[ 6376.678313] before: swapin tgid 9563 pid 9872 name "GoogleApiHandle" vma 7e70fe4000
[ 6376.678326] before: swapin tgid 9563 pid 9872 name "GoogleApiHandle" vma 7e70fe1000
[ 6376.678363] before: swapin tgid 9563 pid 9872 name "GoogleApiHandle" vma 7e70fe2000
[ 6376.678375] before: swapin tgid 9563 pid 9872 name "GoogleApiHandle" vma 7e70fe0000
[ 6376.678410] before: swapin tgid 9563 pid 9872 name "GoogleApiHandle" vma 7ea6a27000
[ 6376.678660] before: swapin tgid 9563 pid 9617 name "GLThread 426" vma 7e9df86000
[ 6376.678704] before: swapin tgid 9563 pid 9617 name "GLThread 426" vma 7fba79f000
[ 6376.678723] before: swapin tgid 9563 pid 9617 name "GLThread 426" vma 7e9ece5000
[ 6376.678873] before: swapin tgid 9563 pid 9617 name "GLThread 426" vma 7eb2fe4000
[ 6376.678999] before: swapin tgid 9563 pid 9617 name "GLThread 426" vma 7f2e35a000
[ 6376.679041] before: swapin tgid 9563 pid 9617 name "GLThread 426" vma 7fbe16e000
[ 6376.679066] before: swapin tgid 9563 pid 9609 name "pool-6-thread-1" vma 7ec772c000
[ 6376.679078] before: swapin tgid 9563 pid 9617 name "GLThread 426" vma 7f2e35b000
