[16851.370277] google_charger: usbchg=USB typec=C usbv=4962 usbc=203 usbMv=5000 usbMc=500
[16861.141380] before: swapin tgid 9403 pid 10141 name "pool-12-thread-" vma 7f29ba1000
[16861.141422] before: swapin tgid 9403 pid 10141 name "pool-12-thread-" vma 7fbe30d000
[16861.141433] before: swapin tgid 9403 pid 10141 name "pool-12-thread-" vma 7f29ba2000
[16861.141440] before: swapin tgid 9403 pid 10141 name "pool-12-thread-" vma 7f29ba0000
[16861.141453] before: swapin tgid 9403 pid 10141 name "pool-12-thread-" vma 7fbc9ed000
[16861.141469] before: swapin tgid 9403 pid 10141 name "pool-12-thread-" vma 7f28dd1000
[16861.141477] before: swapin tgid 9403 pid 10141 name "pool-12-thread-" vma 7f28e2f000
[16861.141486] before: swapin tgid 9403 pid 10141 name "pool-12-thread-" vma 7e582b2000
[16861.141497] before: swapin tgid 9403 pid 10141 name "pool-12-thread-" vma 7f23532000
[16861.141504] before: swapin tgid 9403 pid 10141 name "pool-12-thread-" vma 7f23533000
[16861.141541] before: swapin tgid 9403 pid 10141 name "pool-12-thread-" vma 138e9000
[16861.141589] before: swapin tgid 9403 pid 9501 name "GLThread 421" vma 7ecff94000
[16861.141690] before: swapin tgid 9403 pid 10141 name "pool-12-thread-" vma 7f2d67e000
[16861.141705] before: swapin tgid 9403 pid 10141 name "pool-12-thread-" vma 7ec8c22000
[16861.141731] before: swapin tgid 9403 pid 10141 name "pool-12-thread-" vma 7ec8bed000
[16861.141788] before: swapin tgid 9403 pid 9403 name ".candycrushsaga" vma 7f1f7ab000
[16861.141800] before: swapin tgid 9403 pid 9403 name ".candycrushsaga" vma 7f1f7b3000
[16861.141813] before: swapin tgid 9403 pid 9403 name ".candycrushsaga" vma 7f1f7a4000
[16861.141943] before: swapin tgid 9403 pid 10141 name "pool-12-thread-" vma 70ebf000
[16861.142005] before: swapin tgid 9403 pid 10141 name "pool-12-thread-" vma 138e6000
[16861.142032] before: swapin tgid 9403 pid 10141 name "pool-12-thread-" vma 13ffe000
[16861.142047] before: swapin tgid 9403 pid 10141 name "pool-12-thread-" vma 14509000
[16861.142062] before: swapin tgid 9403 pid 10141 name "pool-12-thread-" vma 70aee000
[16861.142078] before: swapin tgid 9403 pid 10141 name "pool-12-thread-" vma 1450d000
[16861.142097] before: swapin tgid 9403 pid 10141 name "pool-12-thread-" vma 138ed000
[16861.142261] before: swapin tgid 9403 pid 10141 name "pool-12-thread-" vma 70ad5000
[16861.142276] before: swapin tgid 9403 pid 10141 name "pool-12-thread-" vma 709d5000
[16861.142294] before: swapin tgid 9403 pid 10141 name "pool-12-thread-" vma 70ab1000
[16861.142308] before: swapin tgid 9403 pid 10141 name "pool-12-thread-" vma 72b0d000
[16861.142316] before: swapin tgid 9403 pid 10141 name "pool-12-thread-" vma 72af3000
[16861.142324] before: swapin tgid 9403 pid 10141 name "pool-12-thread-" vma 72b02000
[16861.142330] before: swapin tgid 9403 pid 10141 name "pool-12-thread-" vma 7094c000
[16861.142345] before: swapin tgid 9403 pid 10141 name "pool-12-thread-" vma 7fbc9fb000
[16861.142367] before: swapin tgid 9403 pid 10141 name "pool-12-thread-" vma 7fbc9fa000
[16861.142378] before: swapin tgid 9403 pid 10141 name "pool-12-thread-" vma 7fbca39000
[16861.142387] before: swapin tgid 9403 pid 10141 name "pool-12-thread-" vma 7fbca3d000
[16861.142416] before: swapin tgid 9403 pid 10141 name "pool-12-thread-" vma 7fbca37000
[16861.142454] before: swapin tgid 9403 pid 10141 name "pool-12-thread-" vma 7f233c5000
[16861.142492] before: swapin tgid 9403 pid 10141 name "pool-12-thread-" vma 7135f000
[16861.142504] before: swapin tgid 9403 pid 10141 name "pool-12-thread-" vma 70951000
[16861.142628] before: swapin tgid 9403 pid 10141 name "pool-12-thread-" vma 9eb18000
[16861.142671] before: swapin tgid 9403 pid 9451 name "pool-6-thread-1" vma 7ecc0f1000
[16861.142696] before: swapin tgid 9403 pid 10141 name "pool-12-thread-" vma 14267000
