[ 2044.973737] healthd: battery l=100 v=4326 t=34.8 h=2 st=5 c=-164 fc=2789000 cc=8 chg=u
[ 2056.656423] before: swapin tgid 16333 pid 16333 name "re-initialized>" vma 72923000
[ 2056.656445] before: swapin tgid 16333 pid 16333 name "re-initialized>" vma 714bf000
[ 2056.656516] before: swapin tgid 16333 pid 16333 name "re-initialized>" vma 7fbe177000
[ 2056.656543] before: swapin tgid 16333 pid 16333 name "re-initialized>" vma 714bc000
[ 2056.656568] before: swapin tgid 16333 pid 16333 name "re-initialized>" vma 714ba000
[ 2056.658796] before: swapin tgid 16333 pid 16352 name "Binder:16333_2" vma 714d0000
[ 2056.658837] before: swapin tgid 16333 pid 16352 name "Binder:16333_2" vma 70888000
[ 2056.658850] before: swapin tgid 16333 pid 16352 name "Binder:16333_2" vma 72935000
[ 2056.658853] before: swapin tgid 16333 pid 16352 name "Binder:16333_2" vma 72a2b000
[ 2056.658860] before: swapin tgid 16333 pid 16352 name "Binder:16333_2" vma 729ff000
[ 2056.658866] before: swapin tgid 16333 pid 16352 name "Binder:16333_2" vma 72a2a000
[ 2056.658877] before: swapin tgid 16333 pid 16352 name "Binder:16333_2" vma 72a27000
[ 2056.658882] before: swapin tgid 16333 pid 16352 name "Binder:16333_2" vma 72a00000
[ 2056.658886] before: swapin tgid 16333 pid 16352 name "Binder:16333_2" vma 72a2d000
[ 2056.658891] before: swapin tgid 16333 pid 16352 name "Binder:16333_2" vma 72a01000
[ 2056.658896] before: swapin tgid 16333 pid 16352 name "Binder:16333_2" vma 72a02000
[ 2056.658901] before: swapin tgid 16333 pid 16352 name "Binder:16333_2" vma 72a03000
[ 2056.658906] before: swapin tgid 16333 pid 16352 name "Binder:16333_2" vma 72a04000
[ 2056.659008] before: swapin tgid 16333 pid 16352 name "Binder:16333_2" vma 72a05000
[ 2056.659017] before: swapin tgid 16333 pid 16352 name "Binder:16333_2" vma 72a06000
[ 2056.659021] before: swapin tgid 16333 pid 16352 name "Binder:16333_2" vma 72a07000
[ 2056.659025] before: swapin tgid 16333 pid 16352 name "Binder:16333_2" vma 72a2c000
[ 2056.659030] before: swapin tgid 16333 pid 16352 name "Binder:16333_2" vma 72a08000
[ 2056.659035] before: swapin tgid 16333 pid 16352 name "Binder:16333_2" vma 72a09000
[ 2056.659040] before: swapin tgid 16333 pid 16352 name "Binder:16333_2" vma 72a0a000
[ 2056.659046] before: swapin tgid 16333 pid 16352 name "Binder:16333_2" vma 72a0b000
[ 2056.659051] before: swapin tgid 16333 pid 16352 name "Binder:16333_2" vma 72a0c000
[ 2056.659056] before: swapin tgid 16333 pid 16352 name "Binder:16333_2" vma 72a0d000
[ 2056.659060] before: swapin tgid 16333 pid 16352 name "Binder:16333_2" vma 72a0e000
[ 2056.659065] before: swapin tgid 16333 pid 16352 name "Binder:16333_2" vma 72a0f000
[ 2056.659070] before: swapin tgid 16333 pid 16352 name "Binder:16333_2" vma 72a10000
[ 2056.659076] before: swapin tgid 16333 pid 16352 name "Binder:16333_2" vma 72a11000
[ 2056.659081] before: swapin tgid 16333 pid 16352 name "Binder:16333_2" vma 72a12000
[ 2056.659089] before: swapin tgid 16333 pid 16352 name "Binder:16333_2" vma 72a13000
[ 2056.659094] before: swapin tgid 16333 pid 16352 name "Binder:16333_2" vma 72a14000
[ 2056.659099] before: swapin tgid 16333 pid 16352 name "Binder:16333_2" vma 72a15000
[ 2056.659104] before: swapin tgid 16333 pid 16352 name "Binder:16333_2" vma 72a16000
[ 2056.659109] before: swapin tgid 16333 pid 16352 name "Binder:16333_2" vma 72a17000
[ 2056.659114] before: swapin tgid 16333 pid 16352 name "Binder:16333_2" vma 72a18000
[ 2056.659119] before: swapin tgid 16333 pid 16352 name "Binder:16333_2" vma 72a19000
[ 2056.659129] before: swapin tgid 16333 pid 16352 name "Binder:16333_2" vma 72a1a000
[ 2056.659134] before: swapin tgid 16333 pid 16352 name "Binder:16333_2" vma 72a1b000
[ 2056.659139] before: swapin tgid 16333 pid 16352 name "Binder:16333_2" vma 72a1c000
[ 2056.659144] before: swapin tgid 16333 pid 16352 name "Binder:16333_2" vma 72a1d000
[ 2056.659148] before: swapin tgid 16333 pid 16352 name "Binder:16333_2" vma 72a1e000
[ 2056.659154] before: swapin tgid 16333 pid 16352 name "Binder:16333_2" vma 72a1f000
[ 2056.659160] before: swapin tgid 16333 pid 16352 name "Binder:16333_2" vma 72a20000
[ 2056.659164] before: swapin tgid 16333 pid 16352 name "Binder:16333_2" vma 72a21000
[ 2056.659169] before: swapin tgid 16333 pid 16352 name "Binder:16333_2" vma 72a22000
[ 2056.659174] before: swapin tgid 16333 pid 16352 name "Binder:16333_2" vma 72a23000
[ 2056.659179] before: swapin tgid 16333 pid 16352 name "Binder:16333_2" vma 72a24000
[ 2056.659184] before: swapin tgid 16333 pid 16352 name "Binder:16333_2" vma 72a25000
[ 2056.659189] before: swapin tgid 16333 pid 16352 name "Binder:16333_2" vma 72a26000
[ 2056.659194] before: swapin tgid 16333 pid 16352 name "Binder:16333_2" vma 72a29000
[ 2056.659254] before: swapin tgid 16333 pid 16352 name "Binder:16333_2" vma 714c4000
[ 2056.659282] before: swapin tgid 16333 pid 16352 name "Binder:16333_2" vma 714c5000
[ 2056.659410] before: swapin tgid 16333 pid 16352 name "Binder:16333_2" vma 714cb000
[ 2056.659444] before: swapin tgid 16333 pid 16352 name "Binder:16333_2" vma 70c98000
[ 2056.659457] before: swapin tgid 16333 pid 16352 name "Binder:16333_2" vma 70c80000
[ 2056.659475] before: swapin tgid 16333 pid 16352 name "Binder:16333_2" vma 70c4a000
[ 2056.662229] before: swapin tgid 16333 pid 16333 name "re-initialized>" vma 72705000
[ 2056.662251] before: swapin tgid 16333 pid 16333 name "re-initialized>" vma 7292b000
[ 2056.662271] before: swapin tgid 16333 pid 16333 name "re-initialized>" vma 7fbc6ec000
[ 2056.662341] before: swapin tgid 16333 pid 16333 name "re-initialized>" vma 70c65000
[ 2056.662381] before: swapin tgid 16333 pid 16333 name "re-initialized>" vma 70c6b000
[ 2056.662451] before: swapin tgid 16333 pid 16333 name "com.rovio.baba" vma 714d1000
[ 2056.662470] before: swapin tgid 16333 pid 16333 name "com.rovio.baba" vma 70c69000
[ 2056.662493] before: swapin tgid 16333 pid 16333 name "com.rovio.baba" vma 7fbcfb8000
[ 2056.662503] before: swapin tgid 16333 pid 16333 name "com.rovio.baba" vma 7fbe231000
[ 2056.662527] before: swapin tgid 16333 pid 16333 name "com.rovio.baba" vma 7f2897e000
[ 2056.662530] before: swapin tgid 16333 pid 16333 name "com.rovio.baba" vma 7f289f5000
[ 2056.662602] before: swapin tgid 16333 pid 16333 name "com.rovio.baba" vma 7fbe241000
[ 2056.662872] before: swapin tgid 16333 pid 16333 name "com.rovio.baba" vma 714e1000
[ 2056.662906] before: swapin tgid 16333 pid 16333 name "com.rovio.baba" vma 714e0000
[ 2056.663141] before: swapin tgid 16333 pid 16333 name "com.rovio.baba" vma 7fbe236000
[ 2056.663251] before: swapin tgid 16333 pid 16333 name "com.rovio.baba" vma 72947000
[ 2056.663295] before: swapin tgid 16333 pid 16333 name "com.rovio.baba" vma 7fbd336000
[ 2056.663309] before: swapin tgid 16333 pid 16333 name "com.rovio.baba" vma 7f28a18000
[ 2056.663315] before: swapin tgid 16333 pid 16333 name "com.rovio.baba" vma 7fbe187000
[ 2056.663318] before: swapin tgid 16333 pid 16333 name "com.rovio.baba" vma 7fbe188000
[ 2056.663337] before: swapin tgid 16333 pid 16333 name "com.rovio.baba" vma 7f28a81000
[ 2056.663347] before: swapin tgid 16333 pid 16333 name "com.rovio.baba" vma 7f289b2000
[ 2056.663365] before: swapin tgid 16333 pid 16333 name "com.rovio.baba" vma 7f289dc000
[ 2056.664097] before: swapin tgid 16333 pid 16333 name "com.rovio.baba" vma 7f28a7a000
