[ 5323.267038] google_charger: usbchg=USB typec=C usbv=4878 usbc=489 usbMv=5000 usbMc=500
[ 5342.218184] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.218241] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.218295] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.218378] after: swapin tgid 21110 pid 21110 name "ps" vma fffef000
[ 5342.218461] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.218512] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.218600] after: swapin tgid 21110 pid 21110 name "ps" vma fffef000
[ 5342.218683] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.218802] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.218855] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.218906] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.218956] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.219035] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.219091] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.219147] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.219204] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.219261] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.219353] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.219472] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.219514] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.219613] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.220063] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.220136] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.220345] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.220407] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.220461] after: swapin tgid 21110 pid 21110 name "ps" vma fffef000
[ 5342.220535] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.220592] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.220639] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.220707] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.220762] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.220938] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.220999] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.221054] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.221103] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.221162] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
