[ 6848.414064] google_charger: MSC_CHG fv_uv=4400000, cc_max=1400000, rerun in 30000 ms (0)
[ 6848.417223] after: swapin tgid 575 pid 591 name "Binder:575_2" vma 7fbcc1a000
[ 6848.417253] after: swapin tgid 575 pid 591 name "Binder:575_2" vma 7fbce08000
[ 6848.427635] healthd: battery l=99 v=4250 t=35.2 h=2 st=4 c=349 fc=2755000 cc=9 chg=u
[ 6848.441229] after: swapin tgid 935 pid 1593 name "HwBinder:935_1" vma 7fbe033000
[ 6848.441736] after: swapin tgid 935 pid 1593 name "HwBinder:935_1" vma 7fbf6ef000
[ 6848.447580] healthd: battery l=99 v=4250 t=35.2 h=2 st=4 c=349 fc=2755000 cc=9 chg=u
[ 6848.448584] after: swapin tgid 935 pid 1593 name "HwBinder:935_1" vma 7fbd22d000
[ 6848.448620] after: swapin tgid 935 pid 1593 name "HwBinder:935_1" vma 7fbba36000
[ 6848.448651] after: swapin tgid 935 pid 1593 name "HwBinder:935_1" vma 7fbba40000
[ 6848.448721] after: swapin tgid 935 pid 1593 name "HwBinder:935_1" vma 7fbba6a000
[ 6848.448744] after: swapin tgid 935 pid 1593 name "HwBinder:935_1" vma 7fbba6b000
[ 6848.448767] after: swapin tgid 935 pid 1593 name "HwBinder:935_1" vma 7fbba57000
[ 6848.448791] after: swapin tgid 935 pid 1593 name "HwBinder:935_1" vma 7fbba58000
[ 6848.448836] after: swapin tgid 935 pid 1593 name "HwBinder:935_1" vma 7fbba46000
[ 6848.448860] after: swapin tgid 935 pid 1593 name "HwBinder:935_1" vma 7fbbc04000
[ 6848.448881] after: swapin tgid 935 pid 1593 name "HwBinder:935_1" vma 7fbbc08000
[ 6848.448903] after: swapin tgid 935 pid 1593 name "HwBinder:935_1" vma 7fbbc06000
[ 6848.448921] after: swapin tgid 935 pid 1593 name "HwBinder:935_1" vma 7fbbc00000
[ 6848.448935] after: swapin tgid 935 pid 1593 name "HwBinder:935_1" vma 7fbba90000
[ 6848.448965] after: swapin tgid 935 pid 1593 name "HwBinder:935_1" vma 7fbba47000
[ 6848.448990] after: swapin tgid 935 pid 1593 name "HwBinder:935_1" vma 7fbbab9000
[ 6848.449001] after: swapin tgid 935 pid 1593 name "HwBinder:935_1" vma 7fbba96000
[ 6848.449021] after: swapin tgid 935 pid 1593 name "HwBinder:935_1" vma 7fbbc07000
[ 6848.449055] after: swapin tgid 935 pid 1593 name "HwBinder:935_1" vma 7fbba2a000
[ 6848.449080] after: swapin tgid 935 pid 1593 name "HwBinder:935_1" vma 7fbbc0a000
[ 6848.449165] after: swapin tgid 935 pid 1593 name "HwBinder:935_1" vma 7fbbc09000
[ 6848.449201] after: swapin tgid 935 pid 1593 name "HwBinder:935_1" vma 7fbdc72000
[ 6848.449244] after: swapin tgid 935 pid 1593 name "HwBinder:935_1" vma 7fbba6e000
[ 6848.449264] after: swapin tgid 935 pid 1593 name "HwBinder:935_1" vma 7fbbad4000
[ 6848.449288] after: swapin tgid 935 pid 1593 name "HwBinder:935_1" vma 7fbbac5000
[ 6848.449315] after: swapin tgid 935 pid 1593 name "HwBinder:935_1" vma 7fbba45000
[ 6848.449343] after: swapin tgid 935 pid 1593 name "HwBinder:935_1" vma 7fbbad3000
[ 6848.449362] after: swapin tgid 935 pid 1593 name "HwBinder:935_1" vma 7fbba8f000
[ 6848.449389] after: swapin tgid 935 pid 1593 name "HwBinder:935_1" vma 7fbba44000
[ 6848.451856] after: swapin tgid 935 pid 1593 name "HwBinder:935_1" vma 7fbbad5000
[ 6848.451900] after: swapin tgid 935 pid 1593 name "HwBinder:935_1" vma 7fbbc05000
[ 6848.451951] after: swapin tgid 935 pid 1593 name "HwBinder:935_1" vma 7fbba34000
[ 6848.452048] after: swapin tgid 935 pid 1593 name "HwBinder:935_1" vma 7fbbac7000
[ 6848.452171] after: swapin tgid 935 pid 1593 name "HwBinder:935_1" vma 7fbba4c000
[ 6848.452350] after: swapin tgid 935 pid 1593 name "HwBinder:935_1" vma 7fbbac6000
[ 6848.452559] after: swapin tgid 935 pid 1593 name "HwBinder:935_1" vma 7fbba2e000
[ 6848.453025] after: swapin tgid 935 pid 1593 name "HwBinder:935_1" vma 7fbde82000
[ 6848.453073] after: swapin tgid 935 pid 1593 name "HwBinder:935_1" vma 7fbba11000
[ 6848.453104] after: swapin tgid 935 pid 1593 name "HwBinder:935_1" vma 7fbba12000
[ 6863.726091] after: swapin tgid 896 pid 1058 name "thermal-engine" vma 7fbd094000
[ 6863.726348] google_charger: MSC_THERM_DC lvl=1 dc_icl=500000 (0)
[ 6863.726382] google_charger: MSC_THERM_FCC lvl=2 (0)
[ 6863.728047] google_charger: usbchg=USB typec=C usbv=4884 usbc=486 usbMv=5000 usbMc=500
[ 6863.728137] sm8150_bms: MSC_PCS chg_state=1f4108f03010015 [0x15:3:1:4239:500] chg=u
[ 6863.728142] google_battery: MSC_DIN chg_state=1f4108f03010015 f=0x15 chg_s=Charging chg_t=Fast vchg=4239 icl=500
[ 6863.730823] google_battery: MSC_DSG vbatt_idx:2->2 vbatt=4253437 ibatt=305312 fv_uv=4400000 cv_cnt=3 ov_cnt=0
[ 6863.730827] google_battery: MSC_LOGIC cv_cnt=3 ov_cnt=0 temp_idx:2->2, vbatt_idx:2->2, fv=4400000->4400000, cc_max=1400000
[ 6863.730829] google_battery: MSC_VOTE fv_uv=4400000 cc_max=1400000 update_interval=30000
[ 6863.730861] sm8150_bms: CONSTANT_CHARGE_CURRENT_MAX : ivalue=901875, val=18 pause=0 (0)
[ 6863.730871] sm8150_bms: CONSTANT_CHARGE_VOLTAGE_MAX : ivalue=4400000, val=80 (0)
[ 6863.730872] google_charger: MSC_CHG fv_uv=4400000->4400000 cc_max=1400000->925000 rc=0
[ 6863.730875] google_charger: MSC_CHG fv_uv=4400000, cc_max=925000, rerun in 30000 ms (0)
[ 6893.732349] google_charger: usbchg=USB typec=C usbv=4876 usbc=486 usbMv=5000 usbMc=500
[ 6893.732442] sm8150_bms: MSC_PCS chg_state=1f410ac03010015 [0x15:3:1:4268:500] chg=u
[ 6893.732446] google_battery: MSC_DIN chg_state=1f410ac03010015 f=0x15 chg_s=Charging chg_t=Fast vchg=4268 icl=500
[ 6893.734984] google_battery: MSC_DSG vbatt_idx:2->2 vbatt=4278750 ibatt=150625 fv_uv=4400000 cv_cnt=3 ov_cnt=0
[ 6893.734988] google_battery: MSC_LOGIC cv_cnt=3 ov_cnt=0 temp_idx:2->2, vbatt_idx:2->2, fv=4400000->4400000, cc_max=1400000
[ 6893.734990] google_battery: MSC_VOTE fv_uv=4400000 cc_max=1400000 update_interval=30000
[ 6893.735002] google_charger: MSC_CHG fv_uv=4400000, cc_max=925000, rerun in 30000 ms (0)
[ 6904.527123] healthd: battery l=99 v=4283 t=35.5 h=2 st=4 c=255 fc=2755000 cc=9 chg=u
[ 6918.313034] after: swapin tgid 789 pid 789 name "main" vma 7fbe1c5000
[ 6918.313073] after: swapin tgid 789 pid 789 name "main" vma 7fbe491000
[ 6918.313092] after: swapin tgid 789 pid 789 name "main" vma 7fffffd000
[ 6918.313120] after: swapin tgid 789 pid 789 name "main" vma 7f28ae6000
[ 6918.313150] after: swapin tgid 789 pid 789 name "main" vma 7f308af000
[ 6918.313167] after: swapin tgid 789 pid 789 name "main" vma 7fbe342000
[ 6918.313191] after: swapin tgid 789 pid 789 name "main" vma 7fbe346000
[ 6918.313221] after: swapin tgid 789 pid 789 name "main" vma 7fbb773000
[ 6918.313240] after: swapin tgid 789 pid 789 name "main" vma 7fbb774000
[ 6918.313256] after: swapin tgid 789 pid 789 name "main" vma 7fbe15d000
[ 6918.313286] after: swapin tgid 789 pid 789 name "main" vma 7f395f1000
[ 6918.313308] after: swapin tgid 789 pid 789 name "main" vma 7f39800000
[ 6918.313331] after: swapin tgid 789 pid 789 name "main" vma 7fbe15c000
[ 6918.313356] after: swapin tgid 789 pid 789 name "main" vma 7f2ad45000
[ 6918.313376] after: swapin tgid 789 pid 789 name "main" vma 7fbe165000
