[12834.533216] google_charger: usbchg=USB typec=C usbv=4870 usbc=489 usbMv=5000 usbMc=500
[12834.533324] sm8150_bms: MSC_PCS chg_state=1f4112303010015 [0x15:3:1:4387:500] chg=u
[12887.527185] after: swapin tgid 1 pid 1 name "init" vma 7f84ce5000
[12887.527212] after: swapin tgid 1 pid 1 name "init" vma 7f84c8f000
[12887.527247] after: swapin tgid 1 pid 1 name "init" vma 7f8634d000
[12887.527470] after: swapin tgid 1 pid 1 name "init" vma 7f84c46000
[12887.527644] after: swapin tgid 1 pid 1 name "init" vma 7f84c56000
[12887.527751] after: swapin tgid 1 pid 1 name "init" vma 7f84ce6000
[12887.527780] after: swapin tgid 1 pid 1 name "init" vma 7f84c89000
[12887.531317] after: swapin tgid 1 pid 1 name "init" vma 7f84c88000
[12887.531385] after: swapin tgid 1 pid 1 name "init" vma 7f84d5c000
[12887.531582] after: swapin tgid 1 pid 1 name "init" vma 7f84c91000
[12887.531615] after: swapin tgid 1 pid 1 name "init" vma 7f84ce7000
[12887.531739] after: swapin tgid 1 pid 1 name "init" vma 7f84d5d000
[12887.531806] after: swapin tgid 1 pid 1 name "init" vma 7f84c36000
[12887.531851] after: swapin tgid 1 pid 1 name "init" vma 7f84c41000
[12887.532143] after: swapin tgid 1 pid 1 name "init" vma 7f84d5e000
[12887.532312] after: swapin tgid 1 pid 1 name "init" vma 7f84ce8000
[12887.532353] after: swapin tgid 1 pid 1 name "init" vma 7f84c42000
[12887.532383] after: swapin tgid 1 pid 1 name "init" vma 7f84d34000
[12887.532440] after: swapin tgid 1 pid 1 name "init" vma 7f84da5000
[12887.532545] after: swapin tgid 1 pid 1 name "init" vma 7f84de9000
[12887.532576] after: swapin tgid 1 pid 1 name "init" vma 7f84d35000
[12887.532652] after: swapin tgid 1 pid 1 name "init" vma 7f84df3000
[12887.532680] after: swapin tgid 1 pid 1 name "init" vma 7f84d70000
[12887.532703] after: swapin tgid 1 pid 1 name "init" vma 7f84df4000
[12887.532774] after: swapin tgid 1 pid 1 name "init" vma 7f84d36000
[12887.532798] after: swapin tgid 1 pid 1 name "init" vma 7f84dfe000
[12887.532950] after: swapin tgid 1 pid 1 name "init" vma 7f84df2000
[12887.533013] after: swapin tgid 1 pid 1 name "init" vma 7f84cb3000
[12887.533065] after: swapin tgid 1 pid 1 name "init" vma 7f84cb7000
[12887.533092] after: swapin tgid 1 pid 1 name "init" vma 7f84d37000
[12887.533133] after: swapin tgid 1 pid 1 name "init" vma 7f84cbb000
[12887.533170] after: swapin tgid 1 pid 1 name "init" vma 7f84c31000
[12887.533189] after: swapin tgid 1 pid 1 name "init" vma 7f84c9c000
