[ 9877.989706] google_charger: usbchg=USB typec=C usbv=4883 usbc=489 usbMv=5000 usbMc=500
[ 9877.989803] sm8150_bms: MSC_PCS chg_state=1f410d503010015 [0x15:3:1:4309:500] chg=u
[ 9889.029591] after: swapin tgid 18093 pid 18093 name "ps" vma 7ffffff000
[ 9889.029718] after: swapin tgid 18093 pid 18093 name "ps" vma 7ffffff000
[ 9889.029923] after: swapin tgid 18093 pid 18093 name "ps" vma 7ffffff000
[ 9889.029982] after: swapin tgid 18093 pid 18093 name "ps" vma 7ffffff000
[ 9889.030122] after: swapin tgid 18093 pid 18093 name "ps" vma 7ffffff000
[ 9889.030681] after: swapin tgid 18093 pid 18093 name "ps" vma 7ffffff000
[ 9889.031281] after: swapin tgid 18093 pid 18093 name "ps" vma 7ffffff000
[ 9889.031591] after: swapin tgid 18093 pid 18093 name "ps" vma 7ffffff000
[ 9889.031667] after: swapin tgid 18093 pid 18093 name "ps" vma 7ffffff000
[ 9889.031736] after: swapin tgid 18093 pid 18093 name "ps" vma fffef000
[ 9889.031820] after: swapin tgid 18093 pid 18093 name "ps" vma 7ffffff000
[ 9889.031929] after: swapin tgid 18093 pid 18093 name "ps" vma 7ffffff000
[ 9889.032007] after: swapin tgid 18093 pid 18093 name "ps" vma 7ffffff000
[ 9889.032083] after: swapin tgid 18093 pid 18093 name "ps" vma 7ffffff000
[ 9889.032311] after: swapin tgid 18093 pid 18093 name "ps" vma 7ffffff000
[ 9889.032385] after: swapin tgid 18093 pid 18093 name "ps" vma 7ffffff000
[ 9889.032455] after: swapin tgid 18093 pid 18093 name "ps" vma 7ffffff000
[ 9889.032512] after: swapin tgid 18093 pid 18093 name "ps" vma 7ffffff000
[ 9889.032583] after: swapin tgid 18093 pid 18093 name "ps" vma 7ffffff000
[ 9889.032780] after: swapin tgid 18093 pid 18093 name "ps" vma 7ffffff000
[ 9889.033035] after: swapin tgid 18093 pid 18093 name "ps" vma fffef000
[ 9889.033108] after: swapin tgid 18093 pid 18093 name "ps" vma 7ffffff000
[ 9889.033179] after: swapin tgid 18093 pid 18093 name "ps" vma 7ffffff000
[ 9889.033236] after: swapin tgid 18093 pid 18093 name "ps" vma 7ffffff000
[ 9889.033376] after: swapin tgid 18093 pid 18093 name "ps" vma 7ffffff000
[ 9889.033430] after: swapin tgid 18093 pid 18093 name "ps" vma 7ffffff000
[ 9889.033516] after: swapin tgid 18093 pid 18093 name "ps" vma 7ffffff000
[ 9889.033672] after: swapin tgid 18093 pid 18093 name "ps" vma 7ffffff000
[ 9889.033746] after: swapin tgid 18093 pid 18093 name "ps" vma 7ffffff000
[ 9889.033859] after: swapin tgid 18093 pid 18093 name "ps" vma 7ffffff000
[ 9889.033934] after: swapin tgid 18093 pid 18093 name "ps" vma 7ffffff000
[ 9889.034010] after: swapin tgid 18093 pid 18093 name "ps" vma 7ffffff000
[ 9889.034065] after: swapin tgid 18093 pid 18093 name "ps" vma 7ffffff000
[ 9889.034157] after: swapin tgid 18093 pid 18093 name "ps" vma 7ffffff000
[ 9889.034297] after: swapin tgid 18093 pid 18093 name "ps" vma 7ffffff000
[ 9889.034462] after: swapin tgid 18093 pid 18093 name "ps" vma 7ffffff000
[ 9889.034990] after: swapin tgid 18093 pid 18093 name "ps" vma fffef000
[ 9889.035056] after: swapin tgid 18093 pid 18093 name "ps" vma 7ffffff000
[ 9889.035363] after: swapin tgid 18093 pid 18093 name "ps" vma fffef000
[ 9889.035502] after: swapin tgid 18093 pid 18093 name "ps" vma fffef000
[ 9889.035903] after: swapin tgid 18093 pid 18093 name "ps" vma 7ffffff000
[ 9889.036016] after: swapin tgid 18093 pid 18093 name "ps" vma fffef000
[ 9889.036086] after: swapin tgid 18093 pid 18093 name "ps" vma fffef000
[ 9889.036146] after: swapin tgid 18093 pid 18093 name "ps" vma fffef000
[ 9889.036387] after: swapin tgid 18093 pid 18093 name "ps" vma fffef000
[ 9889.252611] after: swapin tgid 3935 pid 3935 name "adbd" vma 7fbd23f000
[ 9892.273029] after: swapin tgid 3935 pid 3935 name "adbd" vma 7fbcfb5000
[ 9895.137453] after: swapin tgid 896 pid 1058 name "thermal-engine" vma 7fbd093000
[ 9895.140846] after: swapin tgid 896 pid 1058 name "thermal-engine" vma 7fbd094000
[ 9895.141110] google_charger: MSC_THERM_DC lvl=1 dc_icl=500000 (0)
[ 9895.141140] google_charger: MSC_THERM_FCC lvl=2 (0)
