# tracer: nop
#
# entries-in-buffer/entries-written: 11966/11966   #P:8
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
       UnityMain-6014  [006] d..4  1677.122764: __free_cluster: [REMOTE __free_cluster] free cluster 1774
 send_target_man-200   [002] ...1  1687.909233: send_zram_to_nbd: target sent: 6467 7ead5f0000 6028d3
 send_target_man-200   [002] ...1  1687.912429: send_zram_to_nbd: target sent: 6467 7ea172c000 6028d4
 send_target_man-200   [002] ...1  1687.914473: send_zram_to_nbd: target sent: 6467 7eabaee000 6028d5
 send_target_man-200   [002] ...1  1687.916325: send_zram_to_nbd: target sent: 6467 7ea1642000 6028d6
 send_target_man-200   [002] ...1  1687.918670: send_zram_to_nbd: target sent: 6467 7ea1643000 6028d7
 send_target_man-200   [002] ...1  1687.920378: send_zram_to_nbd: target sent: 6467 7ea16bc000 6028d8
 send_target_man-200   [000] ...1  1687.922524: send_zram_to_nbd: target sent: 6467 7ea1644000 6028d9
 send_target_man-200   [000] ...1  1687.924949: send_zram_to_nbd: target sent: 6467 7ea1764000 6028da
 send_target_man-200   [000] ...1  1687.927222: send_zram_to_nbd: target sent: 6467 7ea17c7000 6028db
 send_target_man-200   [000] ...1  1687.929289: send_zram_to_nbd: target sent: 6467 7e9b6b2000 6028dc
 send_target_man-200   [000] ...1  1687.931349: send_zram_to_nbd: target sent: 6467 7e9b56d000 6028dd
 send_target_man-200   [000] ...1  1687.933819: send_zram_to_nbd: target sent: 6467 7ead6a0000 6028de
 send_target_man-200   [000] ...1  1687.935916: send_zram_to_nbd: target sent: 6467 7ead4e9000 6028df
 send_target_man-200   [000] ...1  1687.938911: send_zram_to_nbd: target sent: 6467 7f2d6e3000 6028e0
 send_target_man-200   [000] ...1  1687.940814: send_zram_to_nbd: target sent: 6467 7eafe4d000 6028e1
 send_target_man-200   [000] ...1  1687.942797: send_zram_to_nbd: target sent: 6467 7eaff5c000 6028e2
 send_target_man-200   [001] ...1  1687.945109: send_zram_to_nbd: target sent: 6467 7ea17c9000 6028e3
 send_target_man-200   [001] ...1  1687.947582: send_zram_to_nbd: target sent: 6467 7e9b560000 6028e4
 send_target_man-200   [001] ...1  1687.950022: send_zram_to_nbd: target sent: 6467 7ea17e2000 6028e5
 send_target_man-200   [001] ...1  1687.952245: send_zram_to_nbd: target sent: 6467 7ea15c4000 6028e6
 send_target_man-200   [001] ...1  1687.954003: send_zram_to_nbd: target sent: 6467 7eab845000 6028e7
 send_target_man-200   [001] ...1  1687.959353: send_zram_to_nbd: target sent: 6467 7eac03f000 6028e8
 send_target_man-200   [001] ...1  1687.961487: send_zram_to_nbd: target sent: 6467 7ea15ea000 6028e9
 send_target_man-200   [001] ...1  1687.963523: send_zram_to_nbd: target sent: 6467 7ea171e000 6028ea
 send_target_man-200   [001] ...1  1687.965375: send_zram_to_nbd: target sent: 6467 7ea1833000 6028eb
 send_target_man-200   [001] ...1  1687.967210: send_zram_to_nbd: target sent: 6467 7ec3912000 6028ec
 send_target_man-200   [001] ...1  1687.969068: send_zram_to_nbd: target sent: 6467 7ea17fc000 6028ed
 send_target_man-200   [001] ...1  1687.971262: send_zram_to_nbd: target sent: 6467 7e9ba96000 6028ee
 send_target_man-200   [001] ...1  1687.973293: send_zram_to_nbd: target sent: 6467 7eabf71000 6028ef
 send_target_man-200   [001] ...1  1687.975911: send_zram_to_nbd: target sent: 6467 7e9b6c9000 6028f0
 send_target_man-200   [003] ...1  1687.979656: send_zram_to_nbd: target sent: 6467 7e9b81c000 6028f1
 send_target_man-200   [003] ...1  1687.982919: send_zram_to_nbd: target sent: 6467 7f2d6d3000 6028f2
 send_target_man-200   [003] ...1  1687.985237: send_zram_to_nbd: target sent: 6467 7f2d6d2000 6028f3
