# tracer: nop
#
# entries-in-buffer/entries-written: 38827/38827   #P:1
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
           <...>-11969 [004] ....  1981.085391: do_swap_page: swapin tgid 2264 11969 "peration loader" 7ed4555000 1b8257 0 1
           <...>-11969 [004] ....  1981.085491: do_swap_page: swapin tgid 2264 11969 "peration loader" 7ed4555000 1b8257 1 1
           <...>-11969 [004] ....  1981.085574: do_swap_page: swapin tgid 2264 11969 "peration loader" 136c8000 1a05e0 1 1
           <...>-11969 [004] ....  1981.085617: do_swap_page: swapin tgid 2264 11969 "peration loader" 7ed44e6000 1b42eb 0 1
           <...>-11969 [004] ....  1981.085794: do_swap_page: swapin tgid 2264 11969 "peration loader" 7ed44e6000 1b42eb 1 1
           <...>-11969 [004] ....  1981.085801: do_swap_page: swapin tgid 2264 11969 "peration loader" 7ed449e000 1b42a3 0 1
           <...>-11969 [004] ....  1981.085924: do_swap_page: swapin tgid 2264 11969 "peration loader" 7ed449e000 1b42a3 1 1
           <...>-11969 [004] ....  1981.085937: do_swap_page: swapin tgid 2264 11969 "peration loader" 7f233ac000 1c4268 0 1
           <...>-11969 [004] ....  1981.086056: do_swap_page: swapin tgid 2264 11969 "peration loader" 7f233ac000 1c4268 1 1
           <...>-11969 [004] ....  1981.086064: do_swap_page: swapin tgid 2264 11969 "peration loader" 7f233ad000 1c4269 0 1
           <...>-11969 [004] ....  1981.086165: do_swap_page: swapin tgid 2264 11969 "peration loader" 7f233ad000 1c4269 1 1
           <...>-11969 [004] ....  1981.086607: do_swap_page: swapin tgid 2264 11969 "peration loader" 13852000 154286 0 1
           <...>-11969 [004] ....  1981.086732: do_swap_page: swapin tgid 2264 11969 "peration loader" 13852000 154286 1 1
           <...>-11969 [004] ....  1981.086738: do_swap_page: swapin tgid 2264 11969 "peration loader" 13b77000 1582eb 0 1
           <...>-11969 [004] ....  1981.086840: do_swap_page: swapin tgid 2264 11969 "peration loader" 13b77000 1582eb 1 1
           <...>-11969 [004] ....  1981.086880: do_swap_page: swapin tgid 2264 11969 "peration loader" 13017000 14c2f1 0 1
           <...>-11969 [004] ....  1981.087079: do_swap_page: swapin tgid 2264 11969 "peration loader" 13017000 14c2f1 1 1
           <...>-11969 [004] ....  1981.087090: do_swap_page: swapin tgid 2264 11969 "peration loader" 142ac000 16c29a 0 1
           <...>-11969 [004] ....  1981.087665: do_swap_page: swapin tgid 2264 11969 "peration loader" 142ac000 16c29a 1 1
           <...>-11969 [004] ....  1981.087675: do_swap_page: swapin tgid 2264 11969 "peration loader" 13b7a000 1a8513 1 1
           <...>-11969 [004] d..2  1981.087678: free_swap_slot: swapfree cache 1a8513
           <...>-11969 [004] ....  1981.087682: do_swap_page: swapin tgid 2264 11969 "peration loader" 13ea4000 1602d8 0 1
           <...>-11969 [004] ....  1981.087866: do_swap_page: swapin tgid 2264 11969 "peration loader" 13ea4000 1602d8 1 1
           <...>-11969 [004] ....  1981.087875: do_swap_page: swapin tgid 2264 11969 "peration loader" 12fbc000 14c296 0 1
           <...>-11969 [004] ....  1981.088004: do_swap_page: swapin tgid 2264 11969 "peration loader" 12fbc000 14c296 1 1
           <...>-11969 [004] d..2  1981.088015: free_swap_slot: swapfree cache 19c54f
           <...>-11969 [004] d..2  1981.088020: free_swap_slot: swapfree cache 19c550
           <...>-11969 [004] d..2  1981.088030: free_swap_slot: swapfree cache 19c53d
           <...>-11969 [004] ....  1981.088049: do_swap_page: swapin tgid 2264 11969 "peration loader" 7ead609000 1b0502 1 1
