[21038.024009] google_charger: usbchg=USB typec=C usbv=4884 usbc=488 usbMv=5000 usbMc=500
[21038.024093] sm8150_bms: MSC_PCS chg_state=1f4108403010015 [0x15:3:1:4228:500] chg=u
[21038.024099] google_battery: MSC_DIN chg_state=1f4108403010015 f=0x15 chg_s=Charging chg_t=Fast vchg=4228 icl=500
[21038.026829] google_battery: MSC_DSG vbatt_idx:2->1 vbatt=4225000 ibatt=86562 fv_uv=4400000 cv_cnt=0 ov_cnt=0
[21038.026834] google_battery: MSC_LOGIC cv_cnt=0 ov_cnt=0 temp_idx:2->2, vbatt_idx:1->1, fv=4300000->4300000, cc_max=1975000
[21064.501981] swapout tgid 536 pid 536 name "ueventd" vma 7f81aa1000
[21064.503661] swapout tgid 785 pid 785 name "Binder:785_3" vma 7fba207000
[21064.504243] swapout tgid 536 pid 536 name "ueventd" vma 7f83180000
[21064.511505] swapout tgid 785 pid 785 name "Binder:785_3" vma 7fb3a00000
[21064.511512] swapout tgid 785 pid 785 name "Binder:785_3" vma 7fb3a0c000
[21064.511517] swapout tgid 785 pid 785 name "Binder:785_3" vma 7fb39fd000
[21064.511528] swapout tgid 785 pid 785 name "Binder:785_3" vma 7fba0e5000
[21064.511533] swapout tgid 785 pid 785 name "Binder:785_3" vma 7fbd221000
[21064.511627] swapout tgid 785 pid 785 name "Binder:785_3" vma 7fba029000
[21064.511649] swapout tgid 785 pid 785 name "Binder:785_3" vma 7fbdcfa000
[21064.511653] swapout tgid 785 pid 785 name "Binder:785_3" vma 7fb39fe000
[21064.511658] swapout tgid 785 pid 785 name "Binder:785_3" vma 7fbcce7000
[21064.511751] swapout tgid 785 pid 785 name "Binder:785_3" vma 7fbcce8000
[21064.511762] swapout tgid 1005 pid 1005 name "iptables-restor" vma 7fbdf40000
[21064.511772] swapout tgid 1005 pid 1005 name "iptables-restor" vma 7fbdf46000
[21064.511785] swapout tgid 1005 pid 1005 name "iptables-restor" vma 7fbdf47000
[21064.511789] swapout tgid 1005 pid 1005 name "iptables-restor" vma 7fbe491000
[21064.511792] swapout tgid 1005 pid 1005 name "iptables-restor" vma 55555a6000
[21064.511797] swapout tgid 1005 pid 1005 name "iptables-restor" vma 5555615000
[21064.511800] swapout tgid 1005 pid 1005 name "iptables-restor" vma 55555af000
[21064.511803] swapout tgid 1005 pid 1005 name "iptables-restor" vma 7fbdf48000
[21064.511806] swapout tgid 1005 pid 1005 name "iptables-restor" vma 5555616000
[21064.511809] swapout tgid 1005 pid 1005 name "iptables-restor" vma 7fbdf3f000
[21064.511812] swapout tgid 1005 pid 1005 name "iptables-restor" vma 7fbddbf000
[21064.511814] swapout tgid 785 pid 785 name "Binder:785_3" vma 7fba012000
[21064.511817] swapout tgid 785 pid 785 name "Binder:785_3" vma 7fba007000
[21064.511824] swapout tgid 1005 pid 1005 name "iptables-restor" vma 7fbd8df000
[21064.511827] swapout tgid 1005 pid 1005 name "iptables-restor" vma 7fbd81c000
[21064.511830] swapout tgid 1005 pid 1005 name "iptables-restor" vma 7fbd81d000
[21064.511834] swapout tgid 1005 pid 1005 name "iptables-restor" vma 7fbda07000
[21064.511837] swapout tgid 1005 pid 1005 name "iptables-restor" vma 7fbd805000
[21064.511888] swapout tgid 1005 pid 1005 name "iptables-restor" vma 7fbd834000
[21064.511892] swapout tgid 1005 pid 1005 name "iptables-restor" vma 7fbd857000
[21064.511904] swapout tgid 785 pid 785 name "Binder:785_3" vma 7fbd222000
[21064.511921] swapout tgid 1005 pid 1005 name "iptables-restor" vma 7fffffc000
[21064.511933] swapout tgid 1005 pid 1005 name "iptables-restor" vma 7fbd8e0000
[21064.511940] swapout tgid 1005 pid 1005 name "iptables-restor" vma 7fbd81e000
[21064.511946] swapout tgid 1005 pid 1005 name "iptables-restor" vma 7fbda00000
[21064.511953] swapout tgid 1005 pid 1005 name "iptables-restor" vma 7fbda05000
[21064.511962] swapout tgid 1005 pid 1005 name "iptables-restor" vma 7fbd83a000
[21064.511968] swapout tgid 1005 pid 1005 name "iptables-restor" vma 7fbd83b000
[21064.511974] swapout tgid 1005 pid 1005 name "iptables-restor" vma 7fbd809000
[21064.511981] swapout tgid 1005 pid 1005 name "iptables-restor" vma 55555b0000
[21064.511987] swapout tgid 1005 pid 1005 name "iptables-restor" vma 55555a3000
[21064.511999] swapout tgid 1005 pid 1005 name "iptables-restor" vma 55555a4000
[21064.512008] swapout tgid 1005 pid 1005 name "iptables-restor" vma 55555a5000
[21064.512014] swapout tgid 1005 pid 1005 name "iptables-restor" vma 55555a2000
[21064.512021] swapout tgid 1005 pid 1005 name "iptables-restor" vma 55555a1000
[21064.512027] swapout tgid 1005 pid 1005 name "iptables-restor" vma 55555a7000
[21064.512033] swapout tgid 1005 pid 1005 name "iptables-restor" vma 55555a0000
[21064.512039] swapout tgid 1005 pid 1005 name "iptables-restor" vma 7fbf700000
[21064.512049] swapout tgid 1005 pid 1005 name "iptables-restor" vma 7fffffb000
[21064.512056] swapout tgid 1005 pid 1005 name "iptables-restor" vma 7fbd824000
[21064.512063] swapout tgid 1006 pid 1006 name "ip6tables-resto" vma 7fbdfba000
[21064.512065] swapout tgid 1006 pid 1006 name "ip6tables-resto" vma 7fbe491000
[21064.512080] swapout tgid 1005 pid 1005 name "iptables-restor" vma 7fbf6ef000
[21064.512083] swapout tgid 1005 pid 1005 name "iptables-restor" vma 7fbe150000
[21064.512086] swapout tgid 1006 pid 1006 name "ip6tables-resto" vma 7fbd80a000
[21064.512090] swapout tgid 1006 pid 1006 name "ip6tables-resto" vma 7fffffc000
[21064.512094] swapout tgid 1006 pid 1006 name "ip6tables-resto" vma 7fbdfb3000
[21064.512097] swapout tgid 1006 pid 1006 name "ip6tables-resto" vma 7fbdfb9000
[21064.512099] swapout tgid 1006 pid 1006 name "ip6tables-resto" vma 7fbddb2000
[21064.512101] swapout tgid 1006 pid 1006 name "ip6tables-resto" vma 7fbdfbf000
[21064.512102] swapout tgid 1006 pid 1006 name "ip6tables-resto" vma 7fbdfbc000
[21064.512105] swapout tgid 1006 pid 1006 name "ip6tables-resto" vma 7fbd801000
[21064.512108] swapout tgid 1006 pid 1006 name "ip6tables-resto" vma 7fbd800000
[21064.512112] swapout tgid 1006 pid 1006 name "ip6tables-resto" vma 7fbd8f3000
[21064.512115] swapout tgid 1006 pid 1006 name "ip6tables-resto" vma 7fbd8f4000
[21064.512120] swapout tgid 1006 pid 1006 name "ip6tables-resto" vma 7fbd8f6000
[21064.512124] swapout tgid 1006 pid 1006 name "ip6tables-resto" vma 7fbd8f7000
[21064.512128] swapout tgid 1006 pid 1006 name "ip6tables-resto" vma 7fbd8f8000
[21064.512132] swapout tgid 1006 pid 1006 name "ip6tables-resto" vma 7fbd820000
[21064.512136] swapout tgid 1006 pid 1006 name "ip6tables-resto" vma 7fbd822000
