[13805.138366] healthd: battery l=100 v=4392 t=32.2 h=2 st=5 c=-149 fc=2889000 cc=7 chg=u
[13805.304622] before: swapin tgid 16093 pid 16247 name "pool-2-thread-1" vma 7e8176b000
[13805.304640] before: swapin tgid 16093 pid 16093 name "stagram.android" vma 9e00c000
[13805.304677] before: swapin tgid 16093 pid 16093 name "stagram.android" vma 9db35000
[13805.304703] before: swapin tgid 16093 pid 16093 name "stagram.android" vma 9e134000
[13805.304722] before: swapin tgid 16093 pid 16093 name "stagram.android" vma 15653000
[13805.304749] before: swapin tgid 16093 pid 16093 name "stagram.android" vma 9dc45000
[13805.304771] before: swapin tgid 16093 pid 16093 name "stagram.android" vma 9daf0000
[13805.304794] before: swapin tgid 16093 pid 16093 name "stagram.android" vma 9e1f6000
[13805.304810] before: swapin tgid 16093 pid 16093 name "stagram.android" vma 9e2d8000
[13805.304828] before: swapin tgid 16093 pid 16093 name "stagram.android" vma 9e2c1000
[13805.304847] before: swapin tgid 16093 pid 16136 name "MultiSignalANRD" vma 7eba3e2000
[13805.304849] before: swapin tgid 16093 pid 16093 name "stagram.android" vma 9e036000
[13805.304869] before: swapin tgid 16093 pid 16093 name "stagram.android" vma 1319c000
[13805.304895] before: swapin tgid 16093 pid 16093 name "stagram.android" vma 9dd0b000
[13805.304898] before: swapin tgid 16093 pid 16136 name "MultiSignalANRD" vma 7eba3e3000
[13805.304926] before: swapin tgid 16093 pid 16136 name "MultiSignalANRD" vma 7eba3e0000
[13805.304936] before: swapin tgid 16093 pid 16093 name "stagram.android" vma 9dab4000
[13805.304953] before: swapin tgid 16093 pid 16136 name "MultiSignalANRD" vma 7f30ba3000
[13805.304956] before: swapin tgid 16093 pid 16093 name "stagram.android" vma 9e28f000
[13805.305127] before: swapin tgid 16093 pid 16093 name "stagram.android" vma 9e043000
[13805.305160] before: swapin tgid 16093 pid 16093 name "stagram.android" vma 9e2da000
[13805.305183] before: swapin tgid 16093 pid 16093 name "stagram.android" vma 9e2c4000
[13805.305205] before: swapin tgid 16093 pid 16093 name "stagram.android" vma 9db16000
[13805.305250] before: swapin tgid 16093 pid 16093 name "stagram.android" vma 9e1a2000
[13805.305274] before: swapin tgid 16093 pid 16093 name "stagram.android" vma 9e2ba000
[13805.305325] before: swapin tgid 16093 pid 16093 name "stagram.android" vma 9dc21000
[13805.305336] before: swapin tgid 16093 pid 16136 name "MultiSignalANRD" vma 9e2a5000
[13805.305388] before: swapin tgid 16093 pid 16093 name "stagram.android" vma 9dafa000
[13805.305411] before: swapin tgid 16093 pid 16093 name "stagram.android" vma 9e1dd000
[13805.305430] before: swapin tgid 16093 pid 16136 name "MultiSignalANRD" vma 9e05a000
[13805.305433] before: swapin tgid 16093 pid 16093 name "stagram.android" vma 9dbb9000
[13805.305452] before: swapin tgid 16093 pid 16093 name "stagram.android" vma 9db1c000
[13805.305460] before: swapin tgid 16093 pid 16136 name "MultiSignalANRD" vma 9df24000
[13805.305473] before: swapin tgid 16093 pid 16093 name "stagram.android" vma 9e18e000
[13805.305484] before: swapin tgid 16093 pid 16136 name "MultiSignalANRD" vma 70370000
[13805.305491] before: swapin tgid 16093 pid 16093 name "stagram.android" vma 9df42000
[13805.305510] before: swapin tgid 16093 pid 16136 name "MultiSignalANRD" vma 7f2dc19000
[13805.305514] before: swapin tgid 16093 pid 16093 name "stagram.android" vma 6fd5a000
[13805.305528] before: swapin tgid 16093 pid 16136 name "MultiSignalANRD" vma 7f2dc1a000
[13805.305596] before: swapin tgid 16093 pid 16093 name "stagram.android" vma 7f2d633000
[13805.305639] before: swapin tgid 16093 pid 16093 name "stagram.android" vma 7e918ab000
[13805.305654] before: swapin tgid 16093 pid 16136 name "MultiSignalANRD" vma 7fbe2f7000
