[19447.880422] google_charger: usbchg=USB typec=C usbv=4923 usbc=394 usbMv=5000 usbMc=500
[19457.818878] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 9edb7000
[19457.818887] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 7f30818000
[19457.818895] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 7f2f05f000
[19457.818904] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 9ecea000
[19457.818910] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 9eda9000
[19457.818915] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 9edb8000
[19457.818921] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 9ece6000
[19457.818928] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 9edb1000
[19457.818933] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 9edbd000
[19457.818938] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 9edb9000
[19457.818945] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 7f20da6000
[19457.818955] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 7f20bd5000
[19457.818964] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 7f20bd4000
[19457.818972] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 7fbbb0d000
[19457.818980] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 71723000
[19457.819012] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 7fbe1cb000
[19457.819128] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 71594000
[19457.819145] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 716dd000
[19457.819156] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 714e5000
[19457.819173] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 7119a000
[19457.822956] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 70d62000
[19457.825226] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 9edfb000
[19457.825248] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 9ee00000
[19457.826137] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 7ed2c1d000
[19457.826878] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 7ed0e41000
[19457.826896] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 7e9db76000
[19457.830153] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 7f20d8e000
[19457.830167] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 7f20d91000
[19457.830179] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 7f20d8c000
[19457.830190] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 7f20d8f000
[19457.831781] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 7ed2c20000
[19457.831830] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 7fbe236000
[19457.831844] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 7fbe23f000
[19457.831929] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 9edaf000
[19457.832768] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 9edb2000
[19457.832803] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 7fbf6fb000
[19457.832819] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 71733000
[19457.832840] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 71743000
[19457.832917] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 70e53000
[19457.832928] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 70e52000
[19457.832994] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 7fbe1f2000
[19457.833074] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 9ee02000
[19457.833125] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 1312b000
[19457.834625] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 9ecf3000
[19457.836354] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 9ed9b000
[19457.836375] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 9ece9000
[19457.836384] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 9edac000
[19457.839178] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 7ed2c1f000
[19457.839200] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 9ed27000
[19457.839219] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 71863000
[19457.839236] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 13114000
