[ 6795.703682] foreground_evict = 181780
[ 6795.703687] background_evict = 2066116
[ 6795.703688] foreground_refault = 29509
[ 6795.703689] background_refault = 279790
[ 6795.703690] foreground_fault = 81785
[ 6802.338633] after: swapin tgid 16093 pid 16457 name "UploadJobHandle" vma 7eaeb3c000
[ 6802.340164] after: swapin tgid 16093 pid 2364 name "IgExecutorV2 #6" vma 7e6b838000
[ 6802.348253] after: swapin tgid 16093 pid 16244 name "RenderThread" vma 7e43954000
[ 6802.348307] after: swapin tgid 16093 pid 16244 name "RenderThread" vma 7e7e032000
[ 6802.348334] after: swapin tgid 16093 pid 16244 name "RenderThread" vma 7e7e007000
[ 6802.348349] after: swapin tgid 16093 pid 16244 name "RenderThread" vma 7e7e016000
[ 6802.348365] after: swapin tgid 16093 pid 16244 name "RenderThread" vma 7e7e1c9000
[ 6802.348396] after: swapin tgid 16093 pid 16244 name "RenderThread" vma 7eaebe6000
[ 6802.348411] after: swapin tgid 16093 pid 16244 name "RenderThread" vma 7e437dc000
[ 6802.348451] after: swapin tgid 16093 pid 16244 name "RenderThread" vma 7f2d632000
[ 6802.349146] after: swapin tgid 16093 pid 16244 name "RenderThread" vma 7f2d7ca000
[ 6802.349206] after: swapin tgid 16093 pid 16244 name "RenderThread" vma 7e4bf99000
[ 6802.349276] after: swapin tgid 16093 pid 16244 name "RenderThread" vma 7e4bf9a000
[ 6802.349383] after: swapin tgid 16093 pid 16244 name "RenderThread" vma 7e4bf9b000
[ 6802.349480] after: swapin tgid 16093 pid 16244 name "RenderThread" vma 7e4bf9c000
[ 6802.349562] after: swapin tgid 16093 pid 16244 name "RenderThread" vma 7e4bf9d000
[ 6802.349690] after: swapin tgid 16093 pid 16244 name "RenderThread" vma 7e437dd000
[ 6802.349705] after: swapin tgid 16093 pid 16244 name "RenderThread" vma 7e437de000
[ 6802.349715] after: swapin tgid 16093 pid 16244 name "RenderThread" vma 7e437df000
[ 6802.349759] after: swapin tgid 16093 pid 16244 name "RenderThread" vma 7e4c26b000
[ 6802.349781] after: swapin tgid 16093 pid 16244 name "RenderThread" vma 7e4c26c000
[ 6802.349797] after: swapin tgid 16093 pid 16244 name "RenderThread" vma 7e4c26d000
[ 6802.349813] after: swapin tgid 16093 pid 16244 name "RenderThread" vma 7e4c26e000
[ 6802.349829] after: swapin tgid 16093 pid 16244 name "RenderThread" vma 7e4c26f000
[ 6802.349847] after: swapin tgid 16093 pid 16244 name "RenderThread" vma 7e4c270000
[ 6802.349861] after: swapin tgid 16093 pid 16244 name "RenderThread" vma 7e4c271000
[ 6802.349923] after: swapin tgid 16093 pid 16244 name "RenderThread" vma 7e4bf94000
[ 6802.349932] after: swapin tgid 16093 pid 16244 name "RenderThread" vma 7e4bf95000
[ 6802.349939] after: swapin tgid 16093 pid 16244 name "RenderThread" vma 7e4bf96000
[ 6802.349950] after: swapin tgid 16093 pid 16244 name "RenderThread" vma 7e4c12d000
[ 6802.349965] after: swapin tgid 16093 pid 16244 name "RenderThread" vma 7e43a2f000
[ 6802.349978] after: swapin tgid 16093 pid 16244 name "RenderThread" vma 7e43a30000
[ 6802.349987] after: swapin tgid 16093 pid 16244 name "RenderThread" vma 7e43a31000
