[ 6384.015210] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 7f398a3000
[ 6384.015216] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 7f398c3000
[ 6384.015224] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 7f398c5000
[ 6384.015231] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 7f398c4000
[ 6384.015300] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 7fbe1f2000
[ 6384.015321] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 70d3b000
[ 6384.015333] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 70d3a000
[ 6384.019574] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 9e26f000
[ 6384.019599] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 9e27f000
[ 6384.020110] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 9e26e000
[ 6384.020172] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 9e1fd000
[ 6384.020196] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 70d3c000
[ 6384.020256] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 7f28b59000
[ 6384.020284] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7f28edf000
[ 6384.020305] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7ed127b000
[ 6384.020323] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7ed1277000
[ 6384.020333] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 9e275000
[ 6384.022011] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7ec4ac2000
[ 6384.022026] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7ec4a67000
[ 6384.025436] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7f28f7a000
[ 6384.025628] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 9e2cd000
[ 6384.026375] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7eca66a000
[ 6384.026388] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7eca5e7000
[ 6384.026396] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7ec4973000
[ 6384.026998] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7eca66b000
[ 6384.027008] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7ec4969000
[ 6384.027671] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7ec4ab4000
[ 6384.028298] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7ec4a97000
[ 6384.028305] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7ec4a99000
[ 6384.028312] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7ec4bba000
[ 6384.028711] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 7021d000
[ 6384.028730] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 70333000
[ 6384.028774] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 700cb000
[ 6384.028863] before: swapin tgid 9444 pid 10026 name "pool-12-thread-" vma 7f29992000
[ 6384.028877] before: swapin tgid 9444 pid 10026 name "pool-12-thread-" vma 7f2998f000
[ 6384.028897] before: swapin tgid 9444 pid 10026 name "pool-12-thread-" vma 7f289cf000
[ 6384.028927] before: swapin tgid 9444 pid 10026 name "pool-12-thread-" vma 7f29990000
[ 6384.028935] before: swapin tgid 9444 pid 10026 name "pool-12-thread-" vma 7f2998e000
[ 6384.028947] before: swapin tgid 9444 pid 10026 name "pool-12-thread-" vma 7fbc820000
[ 6384.028961] before: swapin tgid 9444 pid 10026 name "pool-12-thread-" vma 7eca32f000
[ 6384.028967] before: swapin tgid 9444 pid 10026 name "pool-12-thread-" vma 7eca330000
[ 6384.028975] before: swapin tgid 9444 pid 10026 name "pool-12-thread-" vma 7e5c211000
[ 6384.028990] before: swapin tgid 9444 pid 10026 name "pool-12-thread-" vma 7f233f4000
[ 6384.028997] before: swapin tgid 9444 pid 10026 name "pool-12-thread-" vma 7f233f5000
[ 6384.029042] before: swapin tgid 9444 pid 10026 name "pool-12-thread-" vma 7eafd3b000
[ 6384.029077] before: swapin tgid 9444 pid 10026 name "pool-12-thread-" vma 7f2d689000
[ 6384.029091] before: swapin tgid 9444 pid 10026 name "pool-12-thread-" vma 7eafdf2000
[ 6384.029114] before: swapin tgid 9444 pid 10026 name "pool-12-thread-" vma 7eafb8a000
[ 6384.029165] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7ed1278000
[ 6384.029231] before: swapin tgid 9444 pid 10026 name "pool-12-thread-" vma 70a92000
[ 6384.029283] before: swapin tgid 9444 pid 10026 name "pool-12-thread-" vma 702aa000
[ 6384.029447] before: swapin tgid 9444 pid 10026 name "pool-12-thread-" vma 70291000
[ 6384.029467] before: swapin tgid 9444 pid 10026 name "pool-12-thread-" vma 7026d000
[ 6384.029482] before: swapin tgid 9444 pid 10026 name "pool-12-thread-" vma 722c9000
[ 6384.029489] before: swapin tgid 9444 pid 10026 name "pool-12-thread-" vma 722af000
[ 6384.029520] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 7f20caf000
[ 6384.029524] before: swapin tgid 9444 pid 10026 name "pool-12-thread-" vma 7fbc8b6000
[ 6384.029542] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 7f20ca8000
[ 6384.029560] before: swapin tgid 9444 pid 10026 name "pool-12-thread-" vma 7fbc8b4000
[ 6384.029583] before: swapin tgid 9444 pid 10026 name "pool-12-thread-" vma 7f2312e000
[ 6384.029616] before: swapin tgid 9444 pid 10026 name "pool-12-thread-" vma 70b1b000
[ 6384.029738] before: swapin tgid 9444 pid 10026 name "pool-12-thread-" vma 9e2d4000
[ 6384.029774] before: swapin tgid 9444 pid 9485 name "pool-6-thread-1" vma 7ecabd0000
[ 6384.029795] before: swapin tgid 9444 pid 9485 name "pool-6-thread-1" vma 7ecabcd000
[ 6384.029811] before: swapin tgid 9444 pid 10026 name "pool-12-thread-" vma 70276000
[ 6384.029815] before: swapin tgid 9444 pid 9485 name "pool-6-thread-1" vma 70a4d000
[ 6384.029827] before: swapin tgid 9444 pid 9485 name "pool-6-thread-1" vma 703d1000
[ 6384.029833] before: swapin tgid 9444 pid 10026 name "pool-12-thread-" vma 7eafb25000
[ 6384.029843] before: swapin tgid 9444 pid 9485 name "pool-6-thread-1" vma 7f28de7000
[ 6384.029849] before: swapin tgid 9444 pid 9485 name "pool-6-thread-1" vma 7f28de9000
[ 6384.029886] before: swapin tgid 9444 pid 9569 name "queued-work-loo" vma 7eb0427000
[ 6384.029957] before: swapin tgid 9444 pid 9485 name "pool-6-thread-1" vma 70421000
[ 6384.030005] before: swapin tgid 9444 pid 9569 name "queued-work-loo" vma 7eafb88000
[ 6384.030292] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7f30a27000
[ 6384.030765] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 7f20cb1000
[ 6384.030780] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 7f20ca9000
[ 6384.031630] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7eca602000
[ 6384.032089] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 7f20cb0000
[ 6384.032220] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7f28edb000
[ 6384.032246] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7f28edd000
[ 6384.032264] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7f28edc000
[ 6384.032272] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7eca606000
[ 6384.032288] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7fbab79000
[ 6384.032298] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7eca669000
[ 6384.032313] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7f28d66000
[ 6384.032322] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7ea69c2000
[ 6384.032330] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7eb1dbb000
[ 6384.032339] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7f28abd000
[ 6384.032346] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7f28f67000
[ 6384.032465] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7eaf38e000
[ 6384.032476] before: swapin tgid 9444 pid 9485 name "pool-6-thread-1" vma 7ecabce000
[ 6384.032488] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7fbab76000
[ 6384.032492] before: swapin tgid 9444 pid 9485 name "pool-6-thread-1" vma 702bf000
[ 6384.032516] before: swapin tgid 9444 pid 9485 name "pool-6-thread-1" vma 7f30869000
[ 6384.032538] before: swapin tgid 9444 pid 9485 name "pool-6-thread-1" vma 703bf000
[ 6384.032550] before: swapin tgid 9444 pid 9485 name "pool-6-thread-1" vma 7ecabcc000
[ 6384.032556] before: swapin tgid 9444 pid 9485 name "pool-6-thread-1" vma 703ed000
[ 6384.032566] before: swapin tgid 9444 pid 9485 name "pool-6-thread-1" vma 703cc000
[ 6384.032572] before: swapin tgid 9444 pid 9485 name "pool-6-thread-1" vma 70244000
[ 6384.032586] before: swapin tgid 9444 pid 9485 name "pool-6-thread-1" vma 70256000
[ 6384.032595] before: swapin tgid 9444 pid 9485 name "pool-6-thread-1" vma 703c1000
[ 6384.032608] before: swapin tgid 9444 pid 9485 name "pool-6-thread-1" vma 7f2d6ed000
[ 6384.032623] before: swapin tgid 9444 pid 9485 name "pool-6-thread-1" vma 7f28d54000
[ 6384.032628] before: swapin tgid 9444 pid 9485 name "pool-6-thread-1" vma 7f28d55000
[ 6384.032633] before: swapin tgid 9444 pid 9485 name "pool-6-thread-1" vma 7f308b6000
[ 6384.032685] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7f28a85000
[ 6384.032714] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7eb26fe000
[ 6384.032745] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7f289b1000
[ 6384.032756] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7fbc3e0000
[ 6384.032759] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7fbc3e1000
[ 6384.032764] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7fbab6e000
[ 6384.032868] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7f28f68000
[ 6384.032898] before: swapin tgid 9444 pid 7367 name "GLThread 416" vma 7eca3e2000
[ 6384.032918] before: swapin tgid 9444 pid 7367 name "GLThread 416" vma 7eb26cf000
[ 6384.032924] before: swapin tgid 9444 pid 7367 name "GLThread 416" vma 7eb26d0000
[ 6384.032972] before: swapin tgid 9444 pid 7367 name "AudioTrack" vma 7f2d628000
[ 6384.032981] before: swapin tgid 9444 pid 7367 name "AudioTrack" vma 7f2d629000
[ 6384.033001] before: swapin tgid 9444 pid 7367 name "AudioTrack" vma 7fbe26c000
[ 6384.033020] before: swapin tgid 9444 pid 7367 name "AudioTrack" vma 7fbe28f000
[ 6384.033049] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7fbb0f4000
