[11626.132933] before: swapin tgid 9444 pid 10026 name "pool-12-thread-" vma 7f2998e000
[11626.132945] before: swapin tgid 9444 pid 10026 name "pool-12-thread-" vma 7fbc820000
[11626.132961] before: swapin tgid 9444 pid 10026 name "pool-12-thread-" vma 7eca32f000
[11626.132967] before: swapin tgid 9444 pid 10026 name "pool-12-thread-" vma 7eca330000
[11626.132976] before: swapin tgid 9444 pid 10026 name "pool-12-thread-" vma 7e5c211000
[11626.132988] before: swapin tgid 9444 pid 10026 name "pool-12-thread-" vma 7f233f4000
[11626.132995] before: swapin tgid 9444 pid 10026 name "pool-12-thread-" vma 7f233f5000
[11626.133040] before: swapin tgid 9444 pid 10026 name "pool-12-thread-" vma 7f2d67c000
[11626.133053] before: swapin tgid 9444 pid 10026 name "pool-12-thread-" vma 7eafd3b000
[11626.133063] before: swapin tgid 9444 pid 10026 name "pool-12-thread-" vma 7eafb85000
[11626.133076] before: swapin tgid 9444 pid 10026 name "pool-12-thread-" vma 7f2d689000
[11626.133095] before: swapin tgid 9444 pid 10026 name "pool-12-thread-" vma 7eafdf2000
[11626.133123] before: swapin tgid 9444 pid 10026 name "pool-12-thread-" vma 7eafb8a000
[11626.133257] before: swapin tgid 9444 pid 10026 name "pool-12-thread-" vma 70a92000
[11626.133303] before: swapin tgid 9444 pid 10026 name "pool-12-thread-" vma 702aa000
[11626.133425] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 7f20caf000
[11626.133449] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 7f20ca8000
[11626.133495] before: swapin tgid 9444 pid 10026 name "pool-12-thread-" vma 70291000
[11626.133516] before: swapin tgid 9444 pid 10026 name "pool-12-thread-" vma 7026d000
[11626.133528] before: swapin tgid 9444 pid 10026 name "pool-12-thread-" vma 722c9000
[11626.133536] before: swapin tgid 9444 pid 10026 name "pool-12-thread-" vma 722af000
[11626.133568] before: swapin tgid 9444 pid 10026 name "pool-12-thread-" vma 7fbc8b6000
[11626.133599] before: swapin tgid 9444 pid 10026 name "pool-12-thread-" vma 7fbc8b4000
[11626.133622] before: swapin tgid 9444 pid 10026 name "pool-12-thread-" vma 7f2312e000
[11626.133629] before: swapin tgid 9444 pid 10026 name "pool-12-thread-" vma 7f2d6c8000
[11626.133658] before: swapin tgid 9444 pid 10026 name "pool-12-thread-" vma 70b1b000
[11626.133670] before: swapin tgid 9444 pid 10026 name "pool-12-thread-" vma 7010d000
[11626.133787] before: swapin tgid 9444 pid 10026 name "pool-12-thread-" vma 9e2d4000
[11626.133835] before: swapin tgid 9444 pid 9485 name "pool-6-thread-1" vma 7ecabd0000
[11626.133860] before: swapin tgid 9444 pid 10026 name "pool-12-thread-" vma 70276000
[11626.133881] before: swapin tgid 9444 pid 10026 name "pool-12-thread-" vma 7eafb71000
[11626.133926] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7ed1278000
[11626.133982] before: swapin tgid 9444 pid 9569 name "queued-work-loo" vma 7eb0427000
[11626.134015] before: swapin tgid 9444 pid 9569 name "queued-work-loo" vma 7eafb88000
[11626.134052] before: swapin tgid 9444 pid 9485 name "pool-6-thread-1" vma 7ecabcd000
[11626.134115] before: swapin tgid 9444 pid 9485 name "pool-6-thread-1" vma 70a4d000
[11626.134142] before: swapin tgid 9444 pid 9485 name "pool-6-thread-1" vma 703d1000
[11626.134175] before: swapin tgid 9444 pid 9485 name "pool-6-thread-1" vma 7f28de7000
