# tracer: nop
#
# entries-in-buffer/entries-written: 9745/9745   #P:8
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
           <...>-9940  [007] ....  1000.322354: app_switch_start_handler: ###########switch start! foreground 0#############
           <...>-200   [001] ....  1000.386697: send_target_manager: 3[REMOTE send_target_manager] target manager wake up
           <...>-200   [001] ....  1000.386707: send_target_manager: 3[REMOTE send_target_manager] target manager slept
           <...>-200   [001] ....  1064.586927: send_target_manager: 3[REMOTE send_target_manager] target manager wake up
           <...>-200   [001] ....  1064.586955: send_target_manager: 3[REMOTE send_target_manager] target manager slept
           <...>-200   [003] ....  1214.773782: send_target_manager: 3[REMOTE send_target_manager] target manager wake up
           <...>-200   [003] ....  1214.773866: send_target_manager: 3[REMOTE send_target_manager] target manager slept
           <...>-200   [003] ....  1364.960167: send_target_manager: 3[REMOTE send_target_manager] target manager wake up
           <...>-200   [003] ....  1364.960196: send_target_manager: 3[REMOTE send_target_manager] target manager slept
           <...>-200   [003] ....  1515.146795: send_target_manager: 3[REMOTE send_target_manager] target manager wake up
           <...>-200   [003] ....  1515.146822: send_target_manager: 3[REMOTE send_target_manager] target manager slept
           <...>-200   [003] ....  1665.333438: send_target_manager: 3[REMOTE send_target_manager] target manager wake up
           <...>-200   [003] ....  1665.333465: send_target_manager: 3[REMOTE send_target_manager] target manager slept
           <...>-12639 [007] ....  1792.979573: app_switch_start_handler: ###########switch start! foreground 10122#############
           <...>-5675  [005] ...1  1792.999367: do_swap_page: id 5, table 1 || 83: 1339 7eb5666000
           <...>-5675  [005] ...1  1792.999390: do_swap_page: id 5, table 1 || 84: 1339 7eb55cf000
           <...>-5675  [005] ...1  1792.999403: do_swap_page: id 5, table 1 || 85: 1339 7eb560a000
           <...>-5675  [005] ...1  1792.999426: do_swap_page: id 5, table 1 || 86: 1339 14f0e000
           <...>-5675  [005] ...1  1792.999434: do_swap_page: id 5, table 1 || 87: 1339 14efb000
           <...>-5675  [005] ...1  1792.999451: do_swap_page: id 5, table 1 || 88: 1339 14cf8000
           <...>-5675  [005] ...1  1792.999458: do_swap_page: id 5, table 1 || 89: 1339 14cf6000
           <...>-5675  [005] ...1  1792.999471: do_swap_page: id 5, table 1 || 90: 1339 9d7d7000
           <...>-5675  [005] ...1  1792.999520: do_swap_page: id 5, table 1 || 91: 1339 7f2d7cd000
           <...>-5675  [005] ...1  1792.999530: do_swap_page: id 5, table 1 || 92: 1339 7f2d7ce000
           <...>-5675  [005] ...1  1792.999535: do_swap_page: id 5, table 1 || 93: 1339 7f2d7cf000
           <...>-5675  [005] ...1  1792.999540: do_swap_page: id 5, table 1 || 94: 1339 7f2d7d0000
           <...>-5675  [005] ...1  1792.999547: do_swap_page: id 5, table 1 || 95: 1339 7f2d7d4000
           <...>-5675  [005] ...1  1792.999556: do_swap_page: id 5, table 1 || 96: 1339 7f2d7d5000
           <...>-5675  [005] ...1  1792.999563: do_swap_page: id 5, table 1 || 97: 1339 7f2d7d6000
           <...>-5675  [005] ...1  1792.999568: do_swap_page: id 5, table 1 || 98: 1339 7f2d7d7000
           <...>-5675  [005] ...1  1792.999574: do_swap_page: id 5, table 1 || 99: 1339 7f2d7d1000
           <...>-5675  [005] ...1  1792.999578: do_swap_page: id 5, table 1 || 100: 1339 7f2d7d2000
           <...>-5675  [005] ...1  1792.999582: do_swap_page: id 5, table 1 || 101: 1339 7f2d7d3000
           <...>-5675  [005] ...1  1792.999587: do_swap_page: id 5, table 1 || 102: 1339 7f2d7d9000
           <...>-5675  [005] ...1  1792.999591: do_swap_page: id 5, table 1 || 103: 1339 7f2d7da000
           <...>-5675  [005] ...1  1792.999618: do_swap_page: id 5, table 1 || 104: 1339 7f2d7db000
           <...>-5675  [005] ...1  1792.999623: do_swap_page: id 5, table 1 || 105: 1339 7f2d7dc000
           <...>-5675  [005] ...1  1792.999629: do_swap_page: id 5, table 1 || 106: 1339 7f2d7dd000
           <...>-5675  [005] ...1  1792.999644: do_swap_page: id 5, table 1 || 107: 1339 7f2d7ed000
           <...>-5675  [005] ...1  1792.999652: do_swap_page: id 5, table 1 || 108: 1339 7f2d7ee000
           <...>-5675  [005] ...1  1792.999661: do_swap_page: id 5, table 1 || 109: 1339 7f2d7ef000
           <...>-5675  [005] ...1  1792.999695: do_swap_page: id 5, table 1 || 110: 1339 7f2d7f0000
           <...>-5675  [005] ...1  1792.999707: do_swap_page: id 5, table 1 || 111: 1339 7f2d7f1000
           <...>-5675  [005] ...1  1792.999714: do_swap_page: id 5, table 1 || 112: 1339 7f2d7f2000
           <...>-5675  [005] ...1  1792.999721: do_swap_page: id 5, table 1 || 113: 1339 7f2d7f3000
           <...>-5675  [005] ...1  1792.999734: do_swap_page: id 5, table 1 || 114: 1339 7e65ce6000
           <...>-5675  [005] ...1  1792.999740: do_swap_page: id 5, table 1 || 115: 1339 7e65ce7000
           <...>-5675  [005] ...1  1792.999747: do_swap_page: id 5, table 1 || 116: 1339 7e65ce8000
           <...>-5675  [005] ...1  1792.999757: do_swap_page: id 5, table 1 || 117: 1339 7e65ce9000
           <...>-5675  [005] ...1  1792.999840: do_swap_page: id 5, table 1 || 118: 1339 7e65cea000
           <...>-5675  [005] ...1  1792.999849: do_swap_page: id 5, table 1 || 119: 1339 7e65ceb000
           <...>-5675  [005] ...1  1792.999853: do_swap_page: id 5, table 1 || 120: 1339 7e65cec000
           <...>-5675  [005] ...1  1792.999884: do_swap_page: id 5, table 1 || 121: 1339 9d980000
           <...>-5675  [005] ...1  1792.999899: do_swap_page: id 5, table 1 || 122: 1339 9d8ac000
           <...>-5675  [005] ...1  1792.999922: do_swap_page: id 5, table 1 || 123: 1339 9d81b000
           <...>-5675  [005] ...1  1792.999930: do_swap_page: id 5, table 1 || 124: 1339 9d95d000
           <...>-5675  [005] ...1  1792.999940: do_swap_page: id 5, table 1 || 125: 1339 14f3c000
           <...>-5675  [005] ...1  1792.999947: do_swap_page: id 5, table 1 || 126: 1339 14f3e000
           <...>-5675  [005] ...1  1792.999989: do_swap_page: id 5, table 1 || 127: 1339 151bc000
           <...>-5675  [005] ...1  1793.000016: do_swap_page: id 5, table 1 || 128: 1339 14de8000
           <...>-5675  [005] ...1  1793.000025: do_swap_page: id 5, table 1 || 129: 1339 14de7000
           <...>-5675  [005] ...1  1793.000051: do_swap_page: id 5, table 1 || 130: 1339 9da1b000
           <...>-5675  [005] ...1  1793.000081: do_swap_page: id 5, table 1 || 131: 1339 9d975000
           <...>-5675  [005] ...1  1793.000113: do_swap_page: id 5, table 1 || 132: 1339 7fbe235000
           <...>-5675  [005] ...1  1793.000158: do_swap_page: id 5, table 1 || 133: 1339 9dad0000
           <...>-5675  [005] ...1  1793.000168: do_swap_page: id 5, table 1 || 134: 1339 9d77a000
           <...>-5675  [005] ...1  1793.000176: do_swap_page: id 5, table 1 || 135: 1339 9da0b000
           <...>-5675  [005] ...1  1793.000186: do_swap_page: id 5, table 1 || 136: 1339 9da1d000
     logd.writer-570   [003] ...1  1793.000208: do_swap_page: id 5, table 1 || 137: 558 7fbd678000
           <...>-5675  [005] ...1  1793.000359: do_swap_page: id 5, table 1 || 138: 1339 7fbe178000
           <...>-5675  [005] ...1  1793.000367: do_swap_page: id 5, table 1 || 139: 1339 7fbe23f000
           <...>-816   [006] ...1  1793.000371: do_swap_page: id 5, table 1 || 140: 816 7fbf5e3000
           <...>-5675  [005] ...1  1793.000373: do_swap_page: id 5, table 1 || 141: 1339 7fbe237000
         logcatd-881   [003] ...1  1793.000386: do_swap_page: id 5, table 1 || 142: 881 7fbd941000
           <...>-816   [006] ...1  1793.000389: do_swap_page: id 5, table 1 || 143: 816 7fbde9c000
           <...>-816   [006] ...1  1793.000402: do_swap_page: id 5, table 1 || 144: 816 7fbf6ff000
           <...>-816   [006] ...1  1793.000458: do_swap_page: id 5, table 1 || 145: 816 7fbb825000
     logd.writer-570   [001] ...1  1793.000492: do_swap_page: id 5, table 1 || 146: 558 7fbd67b000
     logd.writer-570   [001] ...1  1793.000517: do_swap_page: id 5, table 1 || 147: 558 7fbd6ab000
     logd.writer-570   [001] ...1  1793.000536: do_swap_page: id 5, table 1 || 148: 558 7fbd68a000
           <...>-5675  [005] ...1  1793.000559: do_swap_page: id 5, table 1 || 149: 1339 7fbe236000
     logd.writer-570   [001] ...1  1793.000581: do_swap_page: id 5, table 1 || 150: 558 7fbbf72000
           <...>-5675  [005] ...1  1793.000614: do_swap_page: id 5, table 1 || 151: 1339 15103000
           <...>-5675  [005] ...1  1793.000627: do_swap_page: id 5, table 1 || 152: 1339 9d80e000
     logd.writer-570   [001] ...1  1793.000648: do_swap_page: id 5, table 1 || 153: 558 7fbbe0d000
           <...>-5675  [005] ...1  1793.000685: do_swap_page: id 5, table 1 || 154: 1339 13634000
     logd.writer-570   [001] ...1  1793.000703: do_swap_page: id 5, table 1 || 155: 558 7fb56da000
           <...>-5675  [005] ...1  1793.000759: do_swap_page: id 5, table 1 || 156: 1339 9d775000
           <...>-7044  [006] ...1  1793.000761: do_swap_page: id 5, table 1 || 157: 1976 7f28969000
           <...>-5675  [005] ...1  1793.000769: do_swap_page: id 5, table 1 || 158: 1339 9d776000
           <...>-7044  [006] ...1  1793.000781: do_swap_page: id 5, table 1 || 159: 1976 7f29c07000
           <...>-7044  [006] ...1  1793.000790: do_swap_page: id 5, table 1 || 160: 1976 7f29c08000
           <...>-7044  [006] ...1  1793.000799: do_swap_page: id 5, table 1 || 161: 1976 7f28b59000
           <...>-7044  [006] ...1  1793.000820: do_swap_page: id 5, table 1 || 162: 1976 7fbe23a000
           <...>-7044  [006] ...1  1793.000829: do_swap_page: id 5, table 1 || 163: 1976 7ecc8ee000
           <...>-7044  [006] ...1  1793.000841: do_swap_page: id 5, table 1 || 164: 1976 7f28af0000
           <...>-7044  [006] ...1  1793.000849: do_swap_page: id 5, table 1 || 165: 1976 7f28af1000
           <...>-7044  [006] ...1  1793.000862: do_swap_page: id 5, table 1 || 166: 1976 7f29c05000
           <...>-5675  [005] ...1  1793.000876: do_swap_page: id 5, table 1 || 167: 1339 7eb6e52000
           <...>-7044  [006] ...1  1793.000883: do_swap_page: id 5, table 1 || 168: 1976 7f29c06000
           <...>-5675  [005] ...1  1793.000892: do_swap_page: id 5, table 1 || 169: 1339 7eb6e59000
           <...>-5675  [005] ...1  1793.000902: do_swap_page: id 5, table 1 || 170: 1339 7eb6e73000
           <...>-7044  [006] ...1  1793.000917: do_swap_page: id 5, table 1 || 171: 1976 7fbe220000
           <...>-7044  [006] ...1  1793.000923: do_swap_page: id 5, table 1 || 172: 1976 7fbe224000
           <...>-7044  [006] ...1  1793.000954: do_swap_page: id 5, table 1 || 173: 1976 131c3000
           <...>-5675  [005] ...1  1793.001023: do_swap_page: id 5, table 1 || 174: 1339 9d81d000
           <...>-1976  [004] ...1  1793.001048: do_swap_page: id 5, table 1 || 175: 1976 13228000
           <...>-5675  [005] ...1  1793.001071: do_swap_page: id 5, table 1 || 176: 1339 9da12000
           <...>-1976  [004] ...1  1793.001089: do_swap_page: id 5, table 1 || 177: 1976 7fbe23f000
           <...>-1976  [004] ...1  1793.001097: do_swap_page: id 5, table 1 || 178: 1976 7fbe240000
     logd.writer-570   [001] ...1  1793.001099: do_swap_page: id 5, table 1 || 179: 558 7fbbf85000
      android.ui-1361  [006] ...1  1793.001148: do_swap_page: id 5, table 1 || 180: 1339 9dacb000
      android.ui-1361  [006] ...1  1793.001165: do_swap_page: id 5, table 1 || 181: 1339 7f212ca000
           <...>-5675  [005] ...1  1793.001182: do_swap_page: id 5, table 1 || 182: 1339 9d8af000
         logcatd-881   [001] .n.1  1793.001196: do_swap_page: id 5, table 1 || 183: 881 7fbd86e000
 ndroid.systemui-1663  [006] ...1  1793.001377: do_swap_page: id 5, table 1 || 184: 1663 9da5f000
 ndroid.systemui-1663  [006] ...1  1793.001396: do_swap_page: id 5, table 1 || 185: 1663 9d93d000
 ndroid.systemui-1663  [006] ...1  1793.001418: do_swap_page: id 5, table 1 || 187: 1663 9d997000
         logcatd-881   [001] ...1  1793.001420: do_swap_page: id 5, table 1 || 186: 881 7fbd858000
 ndroid.systemui-1663  [006] ...1  1793.001425: do_swap_page: id 5, table 1 || 188: 1663 9d97e000
           <...>-5675  [000] ...1  1793.001641: do_swap_page: id 5, table 1 || 189: 1339 14b6f000
           <...>-5675  [000] ...1  1793.001676: do_swap_page: id 5, table 1 || 190: 1339 14b9a000
           <...>-5675  [000] ...1  1793.001699: do_swap_page: id 5, table 1 || 191: 1339 14b9b000
           <...>-5675  [000] ...1  1793.001721: do_swap_page: id 5, table 1 || 192: 1339 9d8a7000
           <...>-5675  [000] ...1  1793.002780: do_swap_page: id 5, table 1 || 193: 1339 7e65d6e000
           <...>-2093  [000] ...1  1793.003043: do_swap_page: id 5, table 1 || 194: 604 7fba708000
           <...>-5675  [000] ...1  1793.003374: do_swap_page: id 5, table 1 || 195: 1339 9d9ed000
           <...>-5675  [000] ...1  1793.003412: do_swap_page: id 5, table 1 || 196: 1339 7f212b1000
           <...>-5675  [000] ...1  1793.003444: do_swap_page: id 5, table 1 || 197: 1339 7f212b2000
           <...>-2093  [000] ...1  1793.004589: do_swap_page: id 5, table 1 || 198: 604 7faa60f000
           <...>-2093  [000] ...1  1793.004697: do_swap_page: id 5, table 1 || 199: 604 7fba6c7000
           <...>-2093  [000] ...1  1793.004812: do_swap_page: id 5, table 1 || 200: 604 7fba6c8000
           <...>-1364  [006] ...1  1793.005114: do_swap_page: id 5, table 1 || 201: 1339 9d95f000
           <...>-1364  [006] ...1  1793.005136: do_swap_page: id 5, table 1 || 202: 1339 9daa4000
           <...>-1364  [006] ...1  1793.005167: do_swap_page: id 5, table 1 || 203: 1339 7f20db8000
           <...>-1364  [006] ...1  1793.005177: do_swap_page: id 5, table 1 || 204: 1339 9d7c8000
           <...>-1364  [006] ...1  1793.005183: do_swap_page: id 5, table 1 || 205: 1339 9da69000
           <...>-1364  [006] ...1  1793.005223: do_swap_page: id 5, table 1 || 206: 1339 9da6e000
           <...>-1364  [006] ...1  1793.005254: do_swap_page: id 5, table 1 || 207: 1339 7eb57f2000
           <...>-1364  [006] ...1  1793.005282: do_swap_page: id 5, table 1 || 208: 1339 7f2d791000
   Binder:1663_3-1696  [001] ...1  1793.005406: do_swap_page: id 5, table 1 || 209: 1663 7f2df37000
           <...>-1976  [006] ...1  1793.005407: do_swap_page: id 5, table 1 || 210: 1976 9d8ff000
           <...>-1976  [006] ...1  1793.005418: do_swap_page: id 5, table 1 || 211: 1976 9d8fd000
           <...>-1976  [006] ...1  1793.005426: do_swap_page: id 5, table 1 || 212: 1976 9d7b3000
           <...>-1976  [006] ...1  1793.005439: do_swap_page: id 5, table 1 || 213: 1976 13c0b000
           <...>-1976  [006] ...1  1793.005448: do_swap_page: id 5, table 1 || 214: 1976 9d90c000
           <...>-1976  [006] ...1  1793.005460: do_swap_page: id 5, table 1 || 215: 1976 7f35153000
           <...>-1976  [006] ...1  1793.005510: do_swap_page: id 5, table 1 || 216: 1976 9d74c000
   Binder:1663_3-1696  [001] ...1  1793.005538: do_swap_page: id 5, table 1 || 217: 1663 9dabb000
           <...>-1976  [006] ...1  1793.005553: do_swap_page: id 5, table 1 || 218: 1976 7fbe23d000
   Binder:1663_3-1696  [001] ...1  1793.005567: do_swap_page: id 5, table 1 || 219: 1663 9d91a000
           <...>-1976  [006] ...1  1793.005602: do_swap_page: id 5, table 1 || 220: 1976 7ec5290000
     logd.writer-570   [003] ...1  1793.005709: do_swap_page: id 5, table 1 || 221: 558 7fbd679000
 ndroid.systemui-1663  [006] ...1  1793.005754: do_swap_page: id 5, table 1 || 222: 1663 9d8ca000
           <...>-7044  [004] ...1  1793.005765: do_swap_page: id 5, table 1 || 223: 1976 9d906000
 ndroid.systemui-1663  [006] ...1  1793.005765: do_swap_page: id 5, table 1 || 224: 1663 9d97d000
           <...>-7044  [004] ...1  1793.005776: do_swap_page: id 5, table 1 || 225: 1976 9d818000
