# tracer: nop
#
# entries-in-buffer/entries-written: 19077/19077   #P:8
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
           <...>-18320 [007] ....  3551.898860: app_switch_start_handler: ###########switch start! foreground 0#############
 send_target_man-200   [001] ...1  4084.981623: send_zram_to_nbd: target sent: 843 7fbc0be000 45d09
 send_target_man-200   [001] ...1  4084.984111: send_zram_to_nbd: target sent: 843 7fbe069000 45d0a
 send_target_man-200   [001] ...1  4084.986423: send_zram_to_nbd: target sent: 843 7fbe04f000 45d0b
 send_target_man-200   [001] ...1  4084.988441: send_zram_to_nbd: target sent: 843 7fbe07c000 45d0c
 send_target_man-200   [002] ...1  4084.990559: send_zram_to_nbd: target sent: 843 7fbe070000 45d0d
 send_target_man-200   [002] ...1  4084.992777: send_zram_to_nbd: target sent: 843 7fbe071000 39d1d
 send_target_man-200   [002] ...1  4084.994842: send_zram_to_nbd: target sent: 843 7fbe0ea000 39d1e
 send_target_man-200   [002] ...1  4084.997100: send_zram_to_nbd: target sent: 843 7fbe0d6000 39d1f
 send_target_man-200   [002] ...1  4085.000409: send_zram_to_nbd: target sent: 843 7fbe055000 39d20
 send_target_man-200   [002] ...1  4085.002372: send_zram_to_nbd: target sent: 843 7fbe063000 39d21
 send_target_man-200   [002] ...1  4085.005781: send_zram_to_nbd: target sent: 843 7f38bb9000 39d22
 send_target_man-200   [002] ...1  4085.008036: send_zram_to_nbd: target sent: 843 7fbe064000 39d23
 send_target_man-200   [002] ...1  4085.010459: send_zram_to_nbd: target sent: 843 7fbe07e000 39d24
 send_target_man-200   [002] ...1  4085.015207: send_zram_to_nbd: target sent: 843 7fbe080000 39d25
 send_target_man-200   [002] ...1  4085.017545: send_zram_to_nbd: target sent: 843 7fbe04e000 39d26
 send_target_man-200   [002] ...1  4085.019836: send_zram_to_nbd: target sent: 843 7fbe062000 39d27
 send_target_man-200   [002] ...1  4085.021928: send_zram_to_nbd: target sent: 843 7fbe0d8000 39d28
 send_target_man-200   [002] ...1  4085.024576: send_zram_to_nbd: target sent: 843 7fbe0e4000 39d29
 send_target_man-200   [002] ...1  4085.026795: send_zram_to_nbd: target sent: 843 7fbe044000 39d2a
 send_target_man-200   [002] ...1  4085.028916: send_zram_to_nbd: target sent: 843 7fbe045000 39d2b
 send_target_man-200   [002] ...1  4085.031599: send_zram_to_nbd: target sent: 843 7fbe046000 39d2c
 send_target_man-200   [003] d..2  4095.199330: send_target_manager: send target manager - id, which_table : 5, 1
 send_target_man-200   [000] d..2  4105.226268: send_target_manager: send target manager - id, which_table : 5, 1
 send_target_man-200   [001] d..2  4115.252930: send_target_manager: send target manager - id, which_table : 5, 1
 send_target_man-200   [001] d..2  4125.279359: send_target_manager: send target manager - id, which_table : 5, 1
 send_target_man-200   [001] d..2  4135.306013: send_target_manager: send target manager - id, which_table : 5, 1
 send_target_man-200   [003] d..2  4145.333744: send_target_manager: send target manager - id, which_table : 5, 1
 send_target_man-200   [000] ...1  4145.349842: send_zram_to_nbd: target sent: 1337 9d8e3000 49d00
 send_target_man-200   [002] ...1  4145.353807: send_zram_to_nbd: target sent: 1337 9d7a6000 41d39
 send_target_man-200   [002] ...1  4145.356696: send_zram_to_nbd: target sent: 1337 9da3f000 39d2d
 send_target_man-200   [002] ...1  4145.358930: send_zram_to_nbd: target sent: 1337 7e635e4000 39d2e
 send_target_man-200   [002] ...1  4145.361034: send_zram_to_nbd: target sent: 1337 7f2d58f000 39d2f
 send_target_man-200   [002] ...1  4145.363212: send_zram_to_nbd: target sent: 1337 7e63380000 39d30
 send_target_man-200   [002] ...1  4145.365432: send_zram_to_nbd: target sent: 1337 9d8f1000 39d31
 send_target_man-200   [002] ...1  4145.371973: send_zram_to_nbd: target sent: 1337 9d7b4000 39d32
 send_target_man-200   [002] ...1  4145.374286: send_zram_to_nbd: target sent: 1337 9d8f4000 39d33
 send_target_man-200   [002] ...1  4145.376628: send_zram_to_nbd: target sent: 1337 9d901000 39d34
 send_target_man-200   [002] ...1  4145.378610: send_zram_to_nbd: target sent: 1337 9d906000 39d35
 send_target_man-200   [002] ...1  4145.380874: send_zram_to_nbd: target sent: 1337 9d90f000 39d36
 send_target_man-200   [002] ...1  4145.382944: send_zram_to_nbd: target sent: 1337 7f35131000 39d37
 send_target_man-200   [002] ...1  4145.384953: send_zram_to_nbd: target sent: 1337 7f20ff4000 39d38
 send_target_man-200   [002] ...1  4145.387106: send_zram_to_nbd: target sent: 1337 7ed0ccb000 39d39
 send_target_man-200   [002] ...1  4145.389135: send_zram_to_nbd: target sent: 1337 9d856000 39d3a
 send_target_man-200   [001] ...1  4145.391619: send_zram_to_nbd: target sent: 1337 7e5edd5000 39d3b
 send_target_man-200   [001] ...1  4145.393904: send_zram_to_nbd: target sent: 1337 7e5edd6000 45d0e
 send_target_man-200   [003] ...1  4145.396223: send_zram_to_nbd: target sent: 1337 7e5edd8000 45d0f
 send_target_man-200   [001] ...1  4145.398399: send_zram_to_nbd: target sent: 1337 7e5edda000 49d01
 send_target_man-200   [001] ...1  4145.400574: send_zram_to_nbd: target sent: 1337 7e5eddb000 45d10
 send_target_man-200   [001] ...1  4145.402875: send_zram_to_nbd: target sent: 1337 7e5eddd000 45d11
 send_target_man-200   [001] ...1  4145.405184: send_zram_to_nbd: target sent: 1337 7e5ede1000 45d12
 send_target_man-200   [001] ...1  4145.407317: send_zram_to_nbd: target sent: 1337 7e5ede2000 45d13
 send_target_man-200   [001] ...1  4145.411779: send_zram_to_nbd: target sent: 1337 7e5ede3000 45d14
 send_target_man-200   [001] ...1  4145.414061: send_zram_to_nbd: target sent: 1337 708cd000 45d15
 send_target_man-200   [003] ...1  4145.416290: send_zram_to_nbd: target sent: 1337 7fbe1b1000 45d16
 send_target_man-200   [003] ...1  4145.424761: send_zram_to_nbd: target sent: 1337 7fbe1af000 49d02
 send_target_man-200   [003] ...1  4145.427072: send_zram_to_nbd: target sent: 1337 7fbe26e000 49d03
 send_target_man-200   [003] ...1  4145.429153: send_zram_to_nbd: target sent: 1337 7fbe1a5000 49d04
 send_target_man-200   [003] ...1  4145.432454: send_zram_to_nbd: target sent: 1337 7f2d411000 49d05
 send_target_man-200   [003] ...1  4145.434615: send_zram_to_nbd: target sent: 1337 7f2d412000 49d06
 send_target_man-200   [003] ...1  4145.436777: send_zram_to_nbd: target sent: 1337 7f28a1a000 49d07
 send_target_man-200   [003] ...1  4145.439069: send_zram_to_nbd: target sent: 1337 7f28a1b000 49d08
 send_target_man-200   [003] ...1  4145.441367: send_zram_to_nbd: target sent: 1337 7e6f38b000 49d09
 send_target_man-200   [001] ...1  4145.443496: send_zram_to_nbd: target sent: 1337 7f2d42e000 49d0a
 send_target_man-200   [001] ...1  4145.445769: send_zram_to_nbd: target sent: 1337 7f288d7000 45d17
 send_target_man-200   [001] ...1  4145.448263: send_zram_to_nbd: target sent: 1337 7f2d43f000 45d18
 send_target_man-200   [001] ...1  4145.450420: send_zram_to_nbd: target sent: 1337 7f2d440000 45d19
 send_target_man-200   [001] ...1  4145.452600: send_zram_to_nbd: target sent: 1337 7f28a15000 45d1a
 send_target_man-200   [001] ...1  4145.454782: send_zram_to_nbd: target sent: 1337 7e8675a000 45d1b
 send_target_man-200   [001] ...1  4145.457072: send_zram_to_nbd: target sent: 1337 7f28a92000 45d1c
 send_target_man-200   [001] ...1  4145.459997: send_zram_to_nbd: target sent: 1337 7f28a13000 45d1d
 send_target_man-200   [001] ...1  4145.462048: send_zram_to_nbd: target sent: 1337 7f28a14000 45d1e
 send_target_man-200   [001] ...1  4145.464203: send_zram_to_nbd: target sent: 1337 7ed0a24000 45d1f
 send_target_man-200   [001] ...1  4145.466583: send_zram_to_nbd: target sent: 1337 7f2d462000 45d20
 send_target_man-200   [001] ...1  4145.468923: send_zram_to_nbd: target sent: 1337 7f2d463000 45d21
 send_target_man-200   [001] ...1  4145.473472: send_zram_to_nbd: target sent: 1337 7fbe349000 45d22
 send_target_man-200   [001] ...1  4145.476303: send_zram_to_nbd: target sent: 1337 7ed0aeb000 45d23
 send_target_man-200   [001] ...1  4145.478404: send_zram_to_nbd: target sent: 1337 7ed0aec000 45d24
 send_target_man-200   [001] ...1  4145.480481: send_zram_to_nbd: target sent: 1337 7ed0aed000 45d25
