[14862.378422] foreground_evict = 0
[14862.378426] background_evict = 0
[14862.378428] foreground_refault = 0
[14862.378429] background_refault = 0
[14862.378430] foreground_fault = 0
[14862.378431] background_fault = 0
[14868.905231] after: swapin tgid 15838 pid 16604 name "ChoreographerOw" vma 7ec684a000
[14868.905263] after: swapin tgid 15838 pid 16604 name "ChoreographerOw" vma 7ec6848000
[14868.905281] after: swapin tgid 15838 pid 16604 name "ChoreographerOw" vma 7e6ad1a000
[14868.905290] after: swapin tgid 15838 pid 16604 name "ChoreographerOw" vma 7e6ad1c000
[14868.905302] after: swapin tgid 15838 pid 16604 name "ChoreographerOw" vma 7e58cc2000
[14868.913749] after: swapin tgid 15838 pid 24234 name "ExoPlayerImplIn" vma 7f235ba000
[14868.913757] after: swapin tgid 15838 pid 24234 name "ExoPlayerImplIn" vma 7f235bb000
[14868.913832] after: swapin tgid 15838 pid 24234 name "ExoPlayerImplIn" vma 7fba8fa000
[14868.913840] after: swapin tgid 15838 pid 24234 name "ExoPlayerImplIn" vma 7fba8fc000
[14868.913957] after: swapin tgid 15838 pid 24234 name "ExoPlayerImplIn" vma 7fbbcbc000
[14868.913964] after: swapin tgid 15838 pid 24234 name "ExoPlayerImplIn" vma 7fbbcbd000
[14868.913970] after: swapin tgid 15838 pid 24234 name "ExoPlayerImplIn" vma 7e7612c000
[14868.913986] after: swapin tgid 15838 pid 24234 name "ExoPlayerImplIn" vma 7fbabc8000
[14868.913989] after: swapin tgid 15838 pid 24234 name "ExoPlayerImplIn" vma 7f39e5d000
[14868.913997] after: swapin tgid 15838 pid 24234 name "ExoPlayerImplIn" vma 7fba282000
[14868.914000] after: swapin tgid 15838 pid 24234 name "ExoPlayerImplIn" vma 7fbbcaf000
[14868.914003] after: swapin tgid 15838 pid 24234 name "ExoPlayerImplIn" vma 7fbbcb8000
[14868.914005] after: swapin tgid 15838 pid 24234 name "ExoPlayerImplIn" vma 7fbbcb9000
[14868.914011] after: swapin tgid 15838 pid 24234 name "ExoPlayerImplIn" vma 7fbbcba000
[14868.914021] after: swapin tgid 15838 pid 24234 name "ExoPlayerImplIn" vma 7fbbcbe000
[14868.914025] after: swapin tgid 15838 pid 24234 name "ExoPlayerImplIn" vma 7fbd1f2000
[14868.914034] after: swapin tgid 15838 pid 24234 name "ExoPlayerImplIn" vma 7fba575000
[14868.914195] after: swapin tgid 15838 pid 24234 name "ExoPlayerImplIn" vma 7fba27d000
[14868.914198] after: swapin tgid 15838 pid 24234 name "ExoPlayerImplIn" vma 7fba27e000
[14868.914217] after: swapin tgid 15838 pid 24234 name "ExoPlayerImplIn" vma 7fbbcbf000
[14868.914231] after: swapin tgid 15838 pid 24234 name "ExoPlayerImplIn" vma 7fbbcbb000
[14868.914235] after: swapin tgid 15838 pid 24234 name "ExoPlayerImplIn" vma 7fbaeb5000
[14868.914240] after: swapin tgid 15838 pid 24234 name "ExoPlayerImplIn" vma 7fbaebb000
[14868.914242] after: swapin tgid 15838 pid 24234 name "ExoPlayerImplIn" vma 7fbaebc000
[14868.914533] after: swapin tgid 15838 pid 24234 name "ExoPlayerImplIn" vma 7fbaeb7000
[14868.914564] after: swapin tgid 15838 pid 24234 name "ExoPlayerImplIn" vma 7e58b86000
[14868.914591] after: swapin tgid 15838 pid 24234 name "ExoPlayerImplIn" vma 7e58c57000
[14868.914615] after: swapin tgid 15838 pid 24234 name "ExoPlayerImplIn" vma 7f39e53000
[14868.914633] after: swapin tgid 15838 pid 24234 name "ExoPlayerImplIn" vma 7e7922f000
[14868.914657] after: swapin tgid 15838 pid 24234 name "ExoPlayerImplIn" vma 7e79230000
[14868.914666] after: swapin tgid 15838 pid 24234 name "ExoPlayerImplIn" vma 7e7922e000
[14868.914755] after: swapin tgid 15838 pid 24234 name "ExoPlayerImplIn" vma 7e58d9d000
[14868.915735] after: swapin tgid 15838 pid 24236 name "MediaCodec_loop" vma 7e7922a000
[14868.915846] after: swapin tgid 15838 pid 24237 name "CodecLooper" vma 7e79231000
[14868.915870] after: swapin tgid 15838 pid 24237 name "CodecLooper" vma 7e9a15f000
[14868.915907] after: swapin tgid 15838 pid 16609 name "CCodecWatchdog" vma 7e78d1b000
[14868.915923] after: swapin tgid 15838 pid 16609 name "CCodecWatchdog" vma 7e78d1a000
[14868.915936] after: swapin tgid 15838 pid 24237 name "CodecLooper" vma 7e792b8000
[14868.915951] after: swapin tgid 15838 pid 24237 name "CodecLooper" vma 7e792b9000
[14868.915991] after: swapin tgid 15838 pid 24237 name "CodecLooper" vma 7e793bd000
[14868.916000] after: swapin tgid 15838 pid 24237 name "CodecLooper" vma 7e793bc000
[14868.916010] after: swapin tgid 15838 pid 24237 name "CodecLooper" vma 7e793b3000
[14868.916037] after: swapin tgid 15838 pid 24237 name "CodecLooper" vma 7fbc1af000
[14868.917339] after: swapin tgid 15838 pid 24237 name "CodecLooper" vma 7f2a847000
[14868.917557] after: swapin tgid 15838 pid 24237 name "CodecLooper" vma 7e793b7000
[14868.917575] after: swapin tgid 15838 pid 24237 name "CodecLooper" vma 7e793b8000
[14868.917637] after: swapin tgid 15838 pid 24237 name "CodecLooper" vma 7e792b7000
[14868.917738] after: swapin tgid 15838 pid 24237 name "CodecLooper" vma 7e793b9000
[14868.917957] after: swapin tgid 15838 pid 24237 name "CodecLooper" vma 7e79139000
[14868.917979] after: swapin tgid 15838 pid 24237 name "CodecLooper" vma 7e79136000
[14868.918030] after: swapin tgid 15838 pid 24237 name "CodecLooper" vma 7e7906a000
[14868.918039] after: swapin tgid 15838 pid 24237 name "CodecLooper" vma 7e79068000
[14868.918050] after: swapin tgid 15838 pid 24237 name "CodecLooper" vma 7e7922c000
[14868.918088] after: swapin tgid 15838 pid 24237 name "CodecLooper" vma 7e79267000
[14868.918096] after: swapin tgid 15838 pid 24237 name "CodecLooper" vma 7e79268000
[14868.918110] after: swapin tgid 15838 pid 24237 name "CodecLooper" vma 7e79266000
[14868.918132] after: swapin tgid 15838 pid 24237 name "CodecLooper" vma 7fbe16d000
[14868.918143] after: swapin tgid 15838 pid 24237 name "CodecLooper" vma 7fbe16f000
[14868.918149] after: swapin tgid 15838 pid 24237 name "CodecLooper" vma 7fbe16e000
[14868.918155] after: swapin tgid 15838 pid 24237 name "CodecLooper" vma 7fbe169000
[14868.918158] after: swapin tgid 15838 pid 24237 name "CodecLooper" vma 7fbe171000
[14868.918168] after: swapin tgid 15838 pid 24237 name "CodecLooper" vma 7e793b6000
[14868.918180] after: swapin tgid 15838 pid 24237 name "CodecLooper" vma 7e79134000
[14868.919055] after: swapin tgid 15838 pid 24237 name "CodecLooper" vma 7e793b4000
[14868.919189] after: swapin tgid 15838 pid 24237 name "CodecLooper" vma 7f2a848000
[14868.919209] after: swapin tgid 15838 pid 24237 name "CodecLooper" vma 7e793b5000
[14868.919376] after: swapin tgid 15838 pid 24237 name "CodecLooper" vma 7e792df000
[14868.919897] after: swapin tgid 15838 pid 24237 name "CodecLooper" vma 7e7cc17000
[14868.920386] after: swapin tgid 15838 pid 24237 name "CodecLooper" vma 7e6adab000
[14868.921736] after: swapin tgid 15838 pid 24237 name "CodecLooper" vma 7e6adac000
[14868.921762] after: swapin tgid 15838 pid 24237 name "CodecLooper" vma 7e41340000
[14868.921814] after: swapin tgid 15838 pid 24237 name "CodecLooper" vma 7e7922b000
[14868.921897] after: swapin tgid 15838 pid 24237 name "CodecLooper" vma 7e790ce000
[14868.921982] after: swapin tgid 15838 pid 24237 name "CodecLooper" vma 7e6ae35000
[14868.922297] after: swapin tgid 15838 pid 24237 name "CodecLooper" vma 7e790cd000
[14868.922311] after: swapin tgid 15838 pid 24237 name "CodecLooper" vma 7e790cf000
[14868.922466] after: swapin tgid 15838 pid 24237 name "CodecLooper" vma 7fbbcb0000
[14868.922520] after: swapin tgid 15838 pid 24236 name "MediaCodec_loop" vma 7fba284000
[14868.922534] after: swapin tgid 15838 pid 24236 name "MediaCodec_loop" vma 7fba283000
[14868.923265] after: swapin tgid 15838 pid 15851 name "HeapTaskDaemon" vma 140fd000
[14868.924163] after: swapin tgid 15838 pid 24234 name "ExoPlayerImplIn" vma 7f235b6000
[14868.924172] after: swapin tgid 15838 pid 24234 name "ExoPlayerImplIn" vma 7f235bd000
[14868.925648] after: swapin tgid 15838 pid 15909 name "Thread-12" vma 7e5e3ef000
[14868.927731] after: swapin tgid 15838 pid 15909 name "Thread-12" vma 7e76c7b000
[14868.928027] after: swapin tgid 15838 pid 15909 name "Thread-12" vma 7e6ada0000
[14868.928209] after: swapin tgid 15838 pid 15909 name "Thread-12" vma 7e40e75000
[14868.929960] after: swapin tgid 15838 pid 15909 name "Thread-12" vma 7e5e79e000
[14868.929987] after: swapin tgid 15838 pid 15909 name "Thread-12" vma 7e5e79d000
[14868.931549] after: swapin tgid 15838 pid 10557 name "IgExecutorV2 #2" vma 9e2eb000
[14868.931697] after: swapin tgid 15838 pid 10557 name "IgExecutorV2 #2" vma 7e7e02c000
[14868.936741] after: swapin tgid 15838 pid 24237 name "CodecLooper" vma 7e5e516000
[14868.940094] after: swapin tgid 15838 pid 13969 name "IgExecutorV2 #2" vma 7e58dd6000
[14868.940202] after: swapin tgid 15838 pid 13969 name "IgExecutorV2 #2" vma 7e58cd1000
[14868.940221] after: swapin tgid 15838 pid 13969 name "IgExecutorV2 #2" vma 7e75dfc000
[14868.940573] after: swapin tgid 15838 pid 24235 name "Loader:Extracto" vma 7e58e0c000
[14868.942576] msm_vidc: info: Opening video instance: 0000000000000000, 1
[14868.942689] after: swapin tgid 15838 pid 15909 name "Thread-12" vma 7e5e526000
[14868.943728] after: swapin tgid 15838 pid 15838 name "stagram.android" vma 9e2d8000
[14868.943924] after: swapin tgid 15838 pid 15909 name "Thread-12" vma 7e5e542000
[14868.944008] after: swapin tgid 15838 pid 15838 name "stagram.android" vma 9e30c000
[14868.948574] after: swapin tgid 15838 pid 15909 name "Thread-12" vma 7e5e600000
[14868.948752] after: swapin tgid 15838 pid 15909 name "Thread-12" vma 7e5e84f000
[14868.948770] after: swapin tgid 15838 pid 15909 name "Thread-12" vma 7e5e851000
[14868.948783] after: swapin tgid 15838 pid 15909 name "Thread-12" vma 7e5e852000
[14868.948794] after: swapin tgid 15838 pid 15909 name "Thread-12" vma 7e5e853000
