# tracer: nop
#
# entries-in-buffer/entries-written: 12131/12131   #P:8
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
           <...>-29644 [007] ....  6929.206312: app_switch_start_handler: ###########switch start! foreground 0#############
     kworker/0:1-29477 [000] ....  6929.399825: cold_page_sender_work: remote: total sent cold page: 5885
     kworker/0:1-29477 [000] ....  6929.399832: cold_page_sender_work: remote: total faulted cold page: 19
           <...>-4846  [000] ....  7270.083857: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e9901f000 9128c
           <...>-4846  [000] ....  7270.086762: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e99022000 9128f
           <...>-4846  [000] ....  7270.090119: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e99023000 91290
           <...>-4846  [000] ....  7270.093172: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e4f096000 6d234
           <...>-4846  [000] ....  7270.096074: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e4f097000 6d235
           <...>-4846  [001] ....  7270.099081: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e4f095000 6d233
           <...>-4846  [001] ....  7270.102003: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e4f098000 6d236
           <...>-4846  [001] ....  7270.105244: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e4f099000 6d237
           <...>-4846  [001] ....  7270.110787: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e4f09b000 6d239
           <...>-4846  [001] ....  7270.119074: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e4f09c000 6d23a
           <...>-4846  [001] ....  7270.123180: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e4f09a000 6d238
           <...>-4846  [001] ....  7270.126914: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e990ba000 912d8
           <...>-4846  [001] ....  7270.130006: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e4f046000 692f6
           <...>-4846  [001] ....  7270.133634: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e99075000 912a3
           <...>-4846  [001] ....  7270.136610: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e990b9000 912d7
           <...>-4846  [001] ....  7270.139644: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e99086000 912b4
           <...>-4846  [000] ....  7270.142634: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e99076000 912a4
           <...>-4846  [000] ....  7270.145537: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e990b8000 912d6
           <...>-4846  [000] ....  7270.148336: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e99077000 912a5
