# tracer: nop
#
# entries-in-buffer/entries-written: 8039/8039   #P:8
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
           <...>-20717 [007] ....  4394.971655: app_switch_start_handler: ###########switch start! foreground 0#############
 send_target_man-200   [002] ...1  4826.538966: send_zram_to_nbd: target sent: 609 7fbd006000 4799a
 send_target_man-200   [002] ...1  4826.541468: send_zram_to_nbd: target sent: 609 7fbd009000 4799b
 send_target_man-200   [002] ...1  4826.543591: send_zram_to_nbd: target sent: 609 7fbd04e000 4799c
 send_target_man-200   [002] ...1  4826.545796: send_zram_to_nbd: target sent: 609 7fbdb3a000 4799d
 send_target_man-200   [002] ...1  4826.547833: send_zram_to_nbd: target sent: 609 7fbd00d000 4799e
 send_target_man-200   [002] ...1  4826.549898: send_zram_to_nbd: target sent: 609 7fbd01c000 4799f
 send_target_man-200   [002] ...1  4826.551885: send_zram_to_nbd: target sent: 609 7fbd698000 479a0
 send_target_man-200   [002] ...1  4826.553878: send_zram_to_nbd: target sent: 609 7fbd7b7000 479a1
 send_target_man-200   [002] ...1  4826.555909: send_zram_to_nbd: target sent: 609 7fbd7b3000 479a2
 send_target_man-200   [002] ...1  4826.558324: send_zram_to_nbd: target sent: 609 7fbd7b4000 479a3
 send_target_man-200   [002] ...1  4826.560438: send_zram_to_nbd: target sent: 609 7fbd001000 479a4
 send_target_man-200   [003] ...1  4826.562768: send_zram_to_nbd: target sent: 609 7fbd000000 479a5
 send_target_man-200   [000] ...1  4826.566373: send_zram_to_nbd: target sent: 609 7fbd011000 439e2
 send_target_man-200   [000] ...1  4826.568785: send_zram_to_nbd: target sent: 609 7fffffe000 3f9ea
 send_target_man-200   [000] ...1  4826.570951: send_zram_to_nbd: target sent: 609 7fffffa000 3f9eb
 send_target_man-200   [000] ...1  4826.573033: send_zram_to_nbd: target sent: 609 7fbd00a000 3f9ec
 send_target_man-200   [000] ...1  4826.575413: send_zram_to_nbd: target sent: 609 7fffffb000 3f9ed
 send_target_man-200   [000] ...1  4826.577513: send_zram_to_nbd: target sent: 609 7fffffc000 3f9ee
 send_target_man-200   [000] ...1  4826.579639: send_zram_to_nbd: target sent: 609 7fffffd000 3f9ef
 send_target_man-200   [000] ...1  4826.581746: send_zram_to_nbd: target sent: 609 7fbdcfb000 3f9f0
 send_target_man-200   [000] ...1  4826.584249: send_zram_to_nbd: target sent: 609 7fbb629000 3f9f1
 send_target_man-200   [000] ...1  4826.586530: send_zram_to_nbd: target sent: 609 7fbd005000 3f9f2
 send_target_man-200   [000] ...1  4826.588652: send_zram_to_nbd: target sent: 609 7fbd588000 3f9f3
 send_target_man-200   [000] ...1  4826.590746: send_zram_to_nbd: target sent: 609 7fbd012000 3f9f4
 send_target_man-200   [000] ...1  4826.592884: send_zram_to_nbd: target sent: 609 7fffff6000 3f9f5
 send_target_man-200   [000] ...1  4826.594995: send_zram_to_nbd: target sent: 609 7fffff7000 3f9f6
 send_target_man-200   [000] ...1  4826.597098: send_zram_to_nbd: target sent: 609 7fffff8000 3f9f7
 send_target_man-200   [000] ...1  4826.599390: send_zram_to_nbd: target sent: 609 7fffff9000 3f9f8
 send_target_man-200   [000] ...1  4826.601930: send_zram_to_nbd: target sent: 609 7fbb628000 3f9f9
 send_target_man-200   [000] ...1  4826.606665: send_zram_to_nbd: target sent: 609 7fbcde8000 3f9fa
 send_target_man-200   [000] ...1  4826.608886: send_zram_to_nbd: target sent: 609 7fbd200000 3f9fb
 send_target_man-200   [002] ...1  4826.611077: send_zram_to_nbd: target sent: 609 7fbd03a000 3f9fc
 send_target_man-200   [002] ...1  4826.613275: send_zram_to_nbd: target sent: 609 7fbd027000 479a6
  surfaceflinger-605   [003] ....  4827.841720: read_swap_cache_async: remote readpage 605 "surfaceflinger" 7fba706000 53909
  surfaceflinger-605   [003] ....  4827.841745: do_swap_page: prefetch fault 605 "surfaceflinger" 7fba706000 53909
 send_target_man-200   [002] d..2  4836.746024: send_target_manager: send target manager - id, which_table : 7, 0
     logd.writer-570   [000] ....  4844.199715: read_swap_cache_async: remote readpage 558 "logd.writer" 7fb56b1000 53900
     logd.writer-570   [000] ....  4844.199732: do_swap_page: prefetch fault 558 "logd.writer" 7fb56b1000 53900
 send_target_man-200   [002] d..2  4846.774211: send_target_manager: send target manager - id, which_table : 7, 0
 send_target_man-200   [003] d..2  4856.801096: send_target_manager: send target manager - id, which_table : 7, 0
     logd.writer-570   [000] ....  4863.062542: read_swap_cache_async: remote readpage 558 "logd.writer" 7fb5603000 439da
     logd.writer-570   [000] ....  4863.062557: do_swap_page: prefetch fault 558 "logd.writer" 7fb5603000 439da
 send_target_man-200   [003] d..2  4866.826216: send_target_manager: send target manager - id, which_table : 7, 0
 send_target_man-200   [003] d..2  4876.852492: send_target_manager: send target manager - id, which_table : 7, 0
 send_target_man-200   [003] d..2  4886.880911: send_target_manager: send target manager - id, which_table : 7, 0
 send_target_man-200   [003] d..2  4896.907601: send_target_manager: send target manager - id, which_table : 7, 0
 send_target_man-200   [003] d..2  4906.932487: send_target_manager: send target manager - id, which_table : 7, 0
 send_target_man-200   [003] ...1  4906.948011: send_zram_to_nbd: target sent: 823 7fb9a49000 439e3
 send_target_man-200   [003] ...1  4906.950268: send_zram_to_nbd: target sent: 823 7fb9a53000 439e4
 send_target_man-200   [003] ...1  4906.952570: send_zram_to_nbd: target sent: 823 7fb9a5e000 439e5
 send_target_man-200   [003] d..2  4916.960857: send_target_manager: send target manager - id, which_table : 7, 0
 send_target_man-200   [003] d..2  4926.987513: send_target_manager: send target manager - id, which_table : 7, 0
 send_target_man-200   [003] d..2  4937.014163: send_target_manager: send target manager - id, which_table : 7, 0
 send_target_man-200   [000] ...1  4937.030927: send_zram_to_nbd: target sent: 867 7fbdbfb000 439e6
 send_target_man-200   [000] ...1  4937.033210: send_zram_to_nbd: target sent: 867 7fbdbfc000 3f9fd
 send_target_man-200   [000] ...1  4937.035296: send_zram_to_nbd: target sent: 867 7fbdbf6000 3f9fe
 send_target_man-200   [000] ...1  4937.037795: send_zram_to_nbd: target sent: 867 7fbbbfb000 3f9ff
 send_target_man-200   [000] ...1  4937.040182: send_zram_to_nbd: target sent: 867 7fbdc61000 57900
 send_target_man-200   [002] ...1  4937.042676: send_zram_to_nbd: target sent: 867 7fbbbfc000 57901
 send_target_man-200   [000] ...1  4937.044938: send_zram_to_nbd: target sent: 867 7fbdc67000 479a7
 send_target_man-200   [000] ...1  4937.047277: send_zram_to_nbd: target sent: 867 7fbdc65000 57902
 send_target_man-200   [003] ...1  4937.049553: send_zram_to_nbd: target sent: 867 7fbdc14000 57903
 send_target_man-200   [003] ...1  4937.051779: send_zram_to_nbd: target sent: 867 7fbdd3f000 439e7
 send_target_man-200   [003] ...1  4937.053917: send_zram_to_nbd: target sent: 867 7fbdbfd000 439e8
 send_target_man-200   [003] ...1  4937.056835: send_zram_to_nbd: target sent: 867 7fbdbfe000 439e9
 send_target_man-200   [003] ...1  4937.058844: send_zram_to_nbd: target sent: 867 7fbdbff000 439ea
 send_target_man-200   [003] ...1  4937.060908: send_zram_to_nbd: target sent: 867 7fbdc00000 439eb
 send_target_man-200   [003] ...1  4937.062934: send_zram_to_nbd: target sent: 867 7fbdc01000 439ec
 send_target_man-200   [003] ...1  4937.064979: send_zram_to_nbd: target sent: 867 7fbdc02000 439ed
 send_target_man-200   [003] ...1  4937.067301: send_zram_to_nbd: target sent: 867 7fbdc03000 439ee
 send_target_man-200   [003] ...1  4937.069438: send_zram_to_nbd: target sent: 867 7fbdc04000 439ef
 send_target_man-200   [003] ...1  4937.072841: send_zram_to_nbd: target sent: 867 7fbdc05000 439f0
 send_target_man-200   [003] ...1  4937.075115: send_zram_to_nbd: target sent: 867 7fbdc06000 439f1
