12c00000-14500000 rw-p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
7ff98c000-7ff98d000 rw-s 00079000 00:12 18482                            /dev/kgsl-3d0
7ff98d000-7ff98e000 rw-s 00078000 00:12 18482                            /dev/kgsl-3d0
7ff98e000-7ff98f000 rw-s 00077000 00:12 18482                            /dev/kgsl-3d0
7ff990000-7ff991000 rw-s 000ac000 00:12 18482                            /dev/kgsl-3d0
7ff992000-7ff993000 rw-s 00115000 00:12 18482                            /dev/kgsl-3d0
7ff993000-7ff994000 rw-s 00114000 00:12 18482                            /dev/kgsl-3d0
7ff994000-7ff995000 rw-s 000ab000 00:12 18482                            /dev/kgsl-3d0
7ff996000-7ff997000 rw-s 00112000 00:12 18482                            /dev/kgsl-3d0
7ff997000-7ff999000 rw-s 0006e000 00:12 18482                            /dev/kgsl-3d0
7ff999000-7ff99d000 rw-s 0006d000 00:12 18482                            /dev/kgsl-3d0
7ff99d000-7ff99e000 rw-s 0006c000 00:12 18482                            /dev/kgsl-3d0
7ff99e000-7ff99f000 rw-s 0006b000 00:12 18482                            /dev/kgsl-3d0
7ff99f000-7ff9a0000 rw-s 0006a000 00:12 18482                            /dev/kgsl-3d0
7ff9a0000-7ff9a1000 rw-s 00069000 00:12 18482                            /dev/kgsl-3d0
7ff9a1000-7ff9a2000 rw-s 00068000 00:12 18482                            /dev/kgsl-3d0
7ff9a2000-7ff9a3000 rw-s 00067000 00:12 18482                            /dev/kgsl-3d0
7ff9a3000-7ff9a5000 rw-s 00066000 00:12 18482                            /dev/kgsl-3d0
7ff9a5000-7ff9a7000 rw-s 00065000 00:12 18482                            /dev/kgsl-3d0
7ff9a7000-7ff9a8000 rw-s 00064000 00:12 18482                            /dev/kgsl-3d0
7ff9a8000-7ff9a9000 rw-s 00063000 00:12 18482                            /dev/kgsl-3d0
7ff9a9000-7ff9aa000 rw-s 00062000 00:12 18482                            /dev/kgsl-3d0
7ff9aa000-7ff9ab000 rw-s 00061000 00:12 18482                            /dev/kgsl-3d0
7ff9ab000-7ff9ac000 rw-s 00060000 00:12 18482                            /dev/kgsl-3d0
7ff9ac000-7ff9ad000 rw-s 0005f000 00:12 18482                            /dev/kgsl-3d0
7ff9ad000-7ff9ae000 rw-s 0005e000 00:12 18482                            /dev/kgsl-3d0
7ff9ae000-7ff9af000 rw-s 0005d000 00:12 18482                            /dev/kgsl-3d0
7ff9af000-7ff9b0000 rw-s 0005c000 00:12 18482                            /dev/kgsl-3d0
7ff9b0000-7ff9b1000 rw-s 0005b000 00:12 18482                            /dev/kgsl-3d0
7ff9b1000-7ff9b2000 rw-s 0005a000 00:12 18482                            /dev/kgsl-3d0
7ff9b2000-7ff9b3000 rw-s 00059000 00:12 18482                            /dev/kgsl-3d0
7ff9b3000-7ff9b4000 rw-s 00058000 00:12 18482                            /dev/kgsl-3d0
7ff9b4000-7ff9b5000 rw-s 00057000 00:12 18482                            /dev/kgsl-3d0
7ff9b5000-7ff9b6000 rw-s 00056000 00:12 18482                            /dev/kgsl-3d0
7ff9b6000-7ff9b7000 rw-s 00055000 00:12 18482                            /dev/kgsl-3d0
7ff9b7000-7ff9b8000 rw-s 00054000 00:12 18482                            /dev/kgsl-3d0
7ff9b8000-7ff9b9000 rw-s 00053000 00:12 18482                            /dev/kgsl-3d0
