[14718.963996] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 13392000
[14718.964019] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 13393000
[14718.964040] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 14857000
[14718.964060] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 14856000
[14718.964079] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 1485b000
[14718.964098] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 13456000
[14718.964126] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 13457000
[14718.964147] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 14858000
[14718.964169] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 14859000
[14718.964189] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 14855000
[14718.964208] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 13337000
[14718.964231] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 13338000
[14718.964252] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 14851000
[14718.964270] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 14850000
[14718.964289] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 14852000
[14718.964308] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 14854000
[14718.964846] swapout tgid 15666 pid 15666 name "stagram.android" vma 7fba650000
[14718.965021] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 1484b000
[14718.965078] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 133e7000
[14718.965106] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 133ae000
[14718.965131] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 133db000
[14718.966635] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 1331e000
[14718.966665] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 70eec000
[14718.966694] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 709e0000
[14718.966733] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 71015000
[14718.966754] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 707a2000
[14718.966786] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 7101f000
[14718.966817] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 1332f000
[14718.966853] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 13362000
[14718.966888] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 1343d000
[14718.966926] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 13373000
[14718.966955] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 133dd000
[14718.967189] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 1330e000
[14718.967227] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 148e1000
[14718.967283] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 133c3000
[14718.967312] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 133c5000
[14718.967355] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 13339000
[14718.968016] swapout tgid 15666 pid 15666 name "stagram.android" vma 7e7a7cb000
[14718.968309] before: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e670cc000
[14718.968335] before: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e803ea000
[14718.968345] before: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e95c78000
[14718.968355] before: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e670cb000
[14718.968365] before: swapin tgid 15666 pid 15817 name "RenderThread" vma 7eae4d9000
[14718.968376] before: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e7acfe000
[14718.968385] before: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e7af93000
[14718.968393] before: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e7adc0000
[14718.968401] before: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e7af65000
[14718.968413] before: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e7af70000
[14718.968422] before: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e7af94000
[14718.968429] before: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e7acfd000
[14718.968437] before: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e80511000
[14718.968445] before: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e66d54000
[14718.968455] before: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e7ad40000
