[ 9796.514413] foreground_evict = 0
[ 9796.514417] background_evict = 0
[ 9796.514418] foreground_refault = 0
[ 9796.514419] background_refault = 0
[ 9796.514420] foreground_fault = 0
[ 9802.158533] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e7a7d1000
[ 9802.158541] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e7a7d2000
[ 9802.158548] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e7a7d3000
[ 9802.158557] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e7a7d4000
[ 9802.158571] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e7a7d5000
[ 9802.158579] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e7a7d7000
[ 9802.158597] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e7a7d8000
[ 9802.158606] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e7a7d9000
[ 9802.158615] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e7a7da000
[ 9802.158626] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e7a7db000
[ 9802.158636] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e7a7dc000
[ 9802.158645] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e7a7dd000
[ 9802.158655] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e7a7de000
[ 9802.158662] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e7a7df000
[ 9802.158670] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e7a7e0000
[ 9802.158679] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e7a7e1000
[ 9802.158686] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e7a7e2000
[ 9802.158693] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e7a7e3000
[ 9802.158710] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e7a7e5000
[ 9802.158716] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e7a7e6000
[ 9802.158725] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e7a7e7000
[ 9802.158732] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e7a7e8000
[ 9802.158740] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e7a7e9000
[ 9802.158750] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e7a7ea000
[ 9802.158758] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e7a7eb000
[ 9802.158767] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e7a7ec000
[ 9802.158783] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e7a7ed000
[ 9802.159240] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e77347000
[ 9802.159259] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e77348000
[ 9802.159266] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e77349000
[ 9802.159275] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e7734a000
[ 9802.159285] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e7734c000
[ 9802.159293] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e7734d000
[ 9802.159302] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e77350000
[ 9802.159313] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e77351000
[ 9802.159329] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e77352000
[ 9802.159339] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e77353000
[ 9802.159354] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e77354000
[ 9802.159361] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e77355000
[ 9802.159369] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e77356000
[ 9802.159380] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e77357000
[ 9802.159388] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e77358000
[ 9802.159398] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e7735a000
[ 9802.159405] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e7735b000
[ 9802.159413] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e7735c000
[ 9802.159422] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e7735d000
[ 9802.159432] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e7735e000
[ 9802.159440] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e7735f000
[ 9802.159450] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e77360000
[ 9802.159461] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e77361000
[ 9802.159468] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e77362000
