[ 7248.276635] foreground_evict = 0
[ 7248.276639] background_evict = 0
[ 7248.276641] foreground_refault = 0
[ 7248.276642] background_refault = 0
[ 7248.276643] foreground_fault = 0
[ 7248.276645] background_fault = 0
[ 7253.988242] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e7208f000
[ 7253.988249] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e72090000
[ 7253.988257] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e72091000
[ 7253.988265] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e72092000
[ 7253.988271] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e72093000
[ 7253.988281] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e72094000
[ 7253.988288] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e72095000
[ 7253.988297] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e72096000
[ 7253.988312] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e72097000
[ 7253.988321] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e72098000
[ 7253.988334] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e72099000
[ 7253.988343] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e7209a000
[ 7253.988350] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e7209b000
[ 7253.988357] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e7209c000
[ 7253.988367] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e7209d000
[ 7253.988375] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e7209e000
[ 7253.988383] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e7209f000
[ 7253.988391] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e720a0000
[ 7253.988410] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e720a1000
[ 7253.988419] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e720a2000
[ 7253.988429] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e720a3000
[ 7253.988443] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e720a4000
[ 7253.988452] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e720a5000
[ 7253.988460] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e720a6000
[ 7253.988469] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e720a7000
[ 7253.988476] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e720a8000
[ 7253.988485] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e720a9000
[ 7253.988494] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e720aa000
[ 7253.988502] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e720ab000
[ 7253.988509] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e720ac000
[ 7253.988518] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e720ad000
[ 7253.988526] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e720ae000
[ 7253.988532] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e720af000
[ 7253.988548] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e720b0000
[ 7253.988555] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e720b1000
[ 7253.988563] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e720b2000
[ 7253.988571] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e720b3000
[ 7253.988579] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e720b4000
[ 7253.988585] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e720b5000
[ 7253.988655] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e720b6000
[ 7253.988670] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e720b7000
[ 7253.988685] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e720b8000
[ 7253.988701] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e720b9000
[ 7253.988715] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e720ba000
[ 7253.988730] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e720bb000
[ 7253.988753] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e720bc000
[ 7253.988768] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e720bd000
[ 7253.988782] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e720be000
[ 7253.988796] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e720bf000
[ 7253.988820] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e720c0000
[ 7253.988835] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e720c1000
[ 7253.988846] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e720c2000
[ 7253.988854] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e720c3000
[ 7253.988861] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e720c4000
[ 7253.988868] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e720c5000
[ 7253.988875] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e720c6000
[ 7253.988883] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e720c7000
[ 7253.988891] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e720c8000
[ 7253.988905] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e720c9000
[ 7253.988912] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e720ca000
[ 7253.988918] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e720cb000
[ 7253.988927] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e720cc000
[ 7253.988935] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e720cd000
[ 7253.988941] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e720ce000
[ 7253.988949] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e720cf000
[ 7253.988954] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e720d0000
[ 7253.988960] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e720d1000
