# tracer: nop
#
# entries-in-buffer/entries-written: 8468/8468   #P:8
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
           <...>-5987  [005] d..4   660.537598: __free_cluster: [REMOTE __free_cluster] free cluster 975
 send_target_man-200   [003] ...1   682.922349: send_zram_to_nbd: target sent: 6475 7eaf292000 5453
 send_target_man-200   [003] ...1   682.924388: send_zram_to_nbd: target sent: 6475 7e999d0000 5454
 send_target_man-200   [003] ...1   682.926322: send_zram_to_nbd: target sent: 6475 7e999e7000 5455
 send_target_man-200   [003] ...1   682.928998: send_zram_to_nbd: target sent: 6475 7e999d1000 5456
 send_target_man-200   [003] ...1   682.931330: send_zram_to_nbd: target sent: 6475 7e9cb37000 5457
 send_target_man-200   [003] ...1   682.933560: send_zram_to_nbd: target sent: 6475 7e999e8000 5458
 send_target_man-200   [003] ...1   682.935323: send_zram_to_nbd: target sent: 6475 7e9996b000 5459
 send_target_man-200   [001] ...1   682.937005: send_zram_to_nbd: target sent: 6475 7e9998c000 545a
 send_target_man-200   [001] ...1   682.939432: send_zram_to_nbd: target sent: 6475 7e999e9000 545b
 send_target_man-200   [001] ...1   682.941648: send_zram_to_nbd: target sent: 6475 7e9cb4d000 545c
 send_target_man-200   [001] ...1   682.943586: send_zram_to_nbd: target sent: 6475 7e9cb44000 545d
 send_target_man-200   [001] ...1   682.945753: send_zram_to_nbd: target sent: 6475 7e9cb68000 545e
 send_target_man-200   [001] ...1   682.947535: send_zram_to_nbd: target sent: 6475 7e9c703000 545f
 send_target_man-200   [001] ...1   682.949830: send_zram_to_nbd: target sent: 6475 7e9996c000 5460
 send_target_man-200   [001] ...1   682.952693: send_zram_to_nbd: target sent: 6475 7eaf294000 5461
 send_target_man-200   [001] ...1   682.954701: send_zram_to_nbd: target sent: 6475 7e9c81a000 5462
 send_target_man-200   [001] ...1   682.956883: send_zram_to_nbd: target sent: 6475 7eaf96a000 5463
 send_target_man-200   [001] ...1   682.959044: send_zram_to_nbd: target sent: 6475 7eaeb6f000 5464
 send_target_man-200   [002] ...1   682.961064: send_zram_to_nbd: target sent: 6475 7e9cb3f000 5465
 send_target_man-200   [002] ...1   682.965084: send_zram_to_nbd: target sent: 6475 7e9cca3000 5466
 send_target_man-200   [002] ...1   682.966950: send_zram_to_nbd: target sent: 6475 7e9c5d9000 5467
 send_target_man-200   [002] ...1   682.968738: send_zram_to_nbd: target sent: 6475 7eaff05000 5468
 send_target_man-200   [002] ...1   682.970716: send_zram_to_nbd: target sent: 6475 7eae9e8000 5469
 send_target_man-200   [001] ...1   682.973487: send_zram_to_nbd: target sent: 6475 7eaeb6c000 546a
 send_target_man-200   [001] ...1   682.977128: send_zram_to_nbd: target sent: 6475 7eaeb6d000 546b
 send_target_man-200   [001] ...1   682.979087: send_zram_to_nbd: target sent: 6475 7eaec9d000 546c
 send_target_man-200   [001] ...1   682.981064: send_zram_to_nbd: target sent: 6475 7eaecbe000 546d
 send_target_man-200   [003] ...1   682.983756: send_zram_to_nbd: target sent: 6475 7eaec9e000 546e
 send_target_man-200   [003] ...1   682.986153: send_zram_to_nbd: target sent: 6475 7eaeb98000 546f
 send_target_man-200   [003] ...1   682.988485: send_zram_to_nbd: target sent: 6475 7eaedae000 5470
 send_target_man-200   [003] ...1   682.990750: send_zram_to_nbd: target sent: 6475 7eaecbf000 5471
 send_target_man-200   [003] ...1   682.993188: send_zram_to_nbd: target sent: 6475 7eaedaf000 5472
 send_target_man-200   [002] ...1   682.995364: send_zram_to_nbd: target sent: 6475 7eaf241000 5473
 send_target_man-200   [002] ...1   682.997406: send_zram_to_nbd: target sent: 6475 7eaedb0000 5474
 send_target_man-200   [002] ...1   682.999492: send_zram_to_nbd: target sent: 6475 7eaeddf000 5475
 send_target_man-200   [003] ...1   683.001777: send_zram_to_nbd: target sent: 6475 7eaeb67000 5476
 send_target_man-200   [003] ...1   683.003682: send_zram_to_nbd: target sent: 6475 7eaedb1000 5477
 send_target_man-200   [003] ...1   683.005768: send_zram_to_nbd: target sent: 6475 7eaedb2000 5478
 send_target_man-200   [003] ...1   683.008205: send_zram_to_nbd: target sent: 6475 7eaede0000 5479
