7fbd40000-7fbd80000 rw-s 00120000 00:12 80                               /dev/kgsl-3d0
7fbfa0000-7fc550000 rw-s 0011e000 00:12 80                               /dev/kgsl-3d0
7fd224000-7fd225000 rw-s 0010e000 00:12 80                               /dev/kgsl-3d0
7fd225000-7fd226000 rw-s 0010d000 00:12 80                               /dev/kgsl-3d0
7fd226000-7fd227000 rw-s 0010c000 00:12 80                               /dev/kgsl-3d0
7fd227000-7fd228000 rw-s 0010b000 00:12 80                               /dev/kgsl-3d0
7fd228000-7fd229000 rw-s 0010a000 00:12 80                               /dev/kgsl-3d0
7fd229000-7fd22a000 rw-s 00109000 00:12 80                               /dev/kgsl-3d0
7fd22a000-7fd22b000 rw-s 00108000 00:12 80                               /dev/kgsl-3d0
7fd22b000-7fd22c000 rw-s 00107000 00:12 80                               /dev/kgsl-3d0
7fd22c000-7fd22d000 rw-s 00106000 00:12 80                               /dev/kgsl-3d0
7fd22d000-7fd22e000 rw-s 00105000 00:12 80                               /dev/kgsl-3d0
7fd22e000-7fd22f000 rw-s 00104000 00:12 80                               /dev/kgsl-3d0
7fd22f000-7fd230000 rw-s 00103000 00:12 80                               /dev/kgsl-3d0
7fd241000-7fd242000 rw-s 00102000 00:12 80                               /dev/kgsl-3d0
7fd242000-7fd243000 rw-s 00101000 00:12 80                               /dev/kgsl-3d0
7fd243000-7fd244000 rw-s 00100000 00:12 80                               /dev/kgsl-3d0
7fd244000-7fd245000 rw-s 000ff000 00:12 80                               /dev/kgsl-3d0
7fd245000-7fd246000 rw-s 000fe000 00:12 80                               /dev/kgsl-3d0
7fd246000-7fd247000 rw-s 000fd000 00:12 80                               /dev/kgsl-3d0
7fd248000-7fd24c000 rw-s 000f9000 00:12 80                               /dev/kgsl-3d0
7fd24c000-7fd250000 rw-s 000f0000 00:12 80                               /dev/kgsl-3d0
7fd543000-7fd544000 rw-s 000f7000 00:12 80                               /dev/kgsl-3d0
7fd544000-7fd545000 rw-s 000f6000 00:12 80                               /dev/kgsl-3d0
7fd545000-7fd546000 rw-s 000f5000 00:12 80                               /dev/kgsl-3d0
7fd546000-7fd547000 rw-s 000f4000 00:12 80                               /dev/kgsl-3d0
7fd547000-7fd548000 rw-s 000f3000 00:12 80                               /dev/kgsl-3d0
7fd548000-7fd550000 rw-s 000e7000 00:12 80                               /dev/kgsl-3d0
7fd550000-7fd960000 rw-s 000e6000 00:12 80                               /dev/kgsl-3d0
7fd961000-7fd962000 rw-s 000f2000 00:12 80                               /dev/kgsl-3d0
7fd962000-7fd963000 rw-s 000ee000 00:12 80                               /dev/kgsl-3d0
7fd963000-7fd964000 rw-s 000ed000 00:12 80                               /dev/kgsl-3d0
7fd964000-7fd965000 rw-s 000ec000 00:12 80                               /dev/kgsl-3d0
7fd965000-7fd966000 rw-s 000eb000 00:12 80                               /dev/kgsl-3d0
