[ 7253.714906] after: swapin tgid 15923 pid 15994 name "Thread-12" vma 7eaec3e000
[ 7253.719523] after: swapin tgid 15923 pid 16075 name "RenderThread" vma 7e612ab000
[ 7253.719568] after: swapin tgid 15923 pid 16075 name "RenderThread" vma 7e532c1000
[ 7253.766368] after: swapin tgid 15923 pid 15961 name "SIMPLE_WORKER3" vma 761e4000
[ 7253.766457] after: swapin tgid 15923 pid 15961 name "SIMPLE_WORKER3" vma 761e5000
[ 7253.766482] after: swapin tgid 15923 pid 15961 name "SIMPLE_WORKER3" vma 761e6000
[ 7253.767458] after: swapin tgid 15923 pid 16108 name "Image Decoding" vma 6fd57000
[ 7253.898274] after: swapin tgid 15923 pid 16075 name "RenderThread" vma 7e612ac000
[ 7253.898340] after: swapin tgid 15923 pid 16075 name "RenderThread" vma 7e532c3000
[ 7253.898375] after: swapin tgid 15923 pid 16075 name "RenderThread" vma 7e612ad000
[ 7254.789616] after: swapin tgid 15923 pid 16075 name "RenderThread" vma 7e5d50f000
[ 7254.870630] after: swapin tgid 15923 pid 16075 name "RenderThread" vma 7e81cd5000
[ 7254.876880] msm_vidc: info: Closed video instance: 0000000000000000
[ 7254.878726] after: swapin tgid 15923 pid 13646 name "MediaCodec_loop" vma 7ec6656000
[ 7254.878770] after: swapin tgid 15923 pid 13646 name "MediaCodec_loop" vma 7e607a3000
[ 7254.878780] after: swapin tgid 15923 pid 13646 name "MediaCodec_loop" vma 7e608a0000
[ 7254.878820] after: swapin tgid 15923 pid 13646 name "MediaCodec_loop" vma 7e9ae1b000
[ 7254.878861] after: swapin tgid 15923 pid 13646 name "MediaCodec_loop" vma 7e5e01d000
[ 7254.881692] after: swapin tgid 15923 pid 13643 name "ExoPlayerImplIn" vma 7fbc632000
[ 7254.904772] after: swapin tgid 15923 pid 16720 name "CodecLooper" vma 7ec6657000
[ 7254.904842] after: swapin tgid 15923 pid 16720 name "CodecLooper" vma 7e7f8f6000
[ 7254.904870] after: swapin tgid 15923 pid 16720 name "CodecLooper" vma 7e7f97c000
[ 7254.939113] after: swapin tgid 15923 pid 16075 name "RenderThread" vma 7e5cd3e000
[ 7254.950726] after: swapin tgid 15923 pid 16075 name "RenderThread" vma 7e612a1000
[ 7254.950838] after: swapin tgid 15923 pid 16075 name "RenderThread" vma 7f2d77c000
[ 7254.950914] after: swapin tgid 15923 pid 16075 name "RenderThread" vma 7e52d8f000
[ 7254.950979] after: swapin tgid 15923 pid 16075 name "RenderThread" vma 7fbe25c000
[ 7254.951129] after: swapin tgid 15923 pid 16075 name "RenderThread" vma 7e5c9b3000
[ 7254.951159] after: swapin tgid 15923 pid 16075 name "RenderThread" vma 7e5ca39000
